"","Top1_Similar_Hotel","Top2_Similar_Hotel","Top3_Similar_Hotel","Top4_Similar_Hotel","Top5_Similar_Hotel"
"2818",794322,705423,652660,593483,551495
"20168",663390,742160,141708,328723,771217
"25428",694850,293337,546221,690757,418901
"27886",650232,715799,608432,761411,53671
"28871",230710,667333,328723,783348,253792
"29051",656268,272597,700901,746807,307470
"31080",715799,50523,705423,52490,678393
"38266",613110,300067,690757,137026,696113
"42970",656268,779175,729317,593483,746807
"43109",600983,245927,793845,755431,297220
"43980",75444,708528,546221,291637,306852
"44129",580978,771217,514946,342540,310722
"44391",415619,652660,551495,645579,356424
"46386",729317,494433,595990,796683,783348
"47061",345397,653459,582135,343094,608432
"48076",601882,505012,291637,642190,768737
"49552",675886,759060,600983,550783,517092
"50515",314235,52490,724346,450767,783348
"50518",31080,549310,783348,503629,137026
"50523",31080,431635,309436,575603,83498
"50570",379885,56879,75382,370870,115795
"52490",538723,582382,327285,772511,588116
"53067",319985,730965,62801,639480,310722
"53671",27886,291637,494433,319985,551495
"53692",571130,517092,568446,809177,779175
"55256",27886,307497,705423,730965,528594
"55621",219276,80635,793845,364728,714520
"55703",80635,593483,480245,75444,91535
"55709",75444,779225,595990,222516,379885
"55807",719623,169356,694850,613088,362458
"55868",370870,319985,52490,171054,27886
"56879",517092,721291,253792,291637,50570
"57978",91535,783348,307497,768737,755431
"58211",203658,590681,678393,363678,729317
"62015",794322,595990,800723,783348,255202
"62801",561713,689623,782254,441424,462341
"63872",342540,73917,314235,759402,772511
"64736",551495,656268,431635,49552,705423
"64769",378523,606871,771758,730965,645579
"67841",784644,108890,84057,505012,656268
"68290",291637,588116,600983,716107,675886
"68873",716107,120872,666142,719623,550783
"69042",609202,730965,62801,755431,568446
"73208",758600,364728,367107,350271,221943
"73917",729317,63872,639480,97476,137026
"75382",50570,800723,441424,581869,62801
"75444",43980,55709,550783,447151,744659
"76668",171631,601882,478448,450767,546221
"80635",55621,350271,728527,645568,55703
"82482",418901,716107,444935,550783,245927
"82748",255809,254104,517092,758600,350271
"83498",584938,700901,639981,785432,771217
"83814",768737,62801,528227,588116,83498
"84057",744158,778820,319985,67841,342540
"91535",485237,694850,57978,516482,193038
"96048",563682,575603,729317,62801,779225
"97221",184282,581869,741043,150634,293514
"97476",340994,705423,73917,667333,345397
"101618",746807,118117,729317,174592,815872
"107195",656268,302426,716781,793499,784543
"107972",779175,645568,705423,528227,245927
"108890",67841,588059,199844,62801,744520
"115795",690757,789743,694850,253792,698672
"118097",713715,437757,811651,772511,675886
"118117",406794,656268,101618,588020,595990
"118302",802052,601882,551495,396125,678393
"120872",735973,68873,364728,309436,418901
"130390",575603,588020,755982,63872,609202
"137026",363678,222516,73917,387644,675886
"141708",495862,787331,307470,788351,20168
"148132",402353,588116,730965,379885,528227
"150634",694850,575603,719623,97221,593483
"152280",575603,621108,779225,236180,656268
"158466",212050,408794,444935,716107,653459
"162467",575603,742160,75444,378523,546221
"165833",528022,593483,291637,811651,379885
"168769",310722,302426,713557,350271,408794
"169356",784277,55807,595990,582030,553216
"171054",595990,55868,740995,291637,69042
"171631",76668,291637,342540,601882,690757
"174592",217692,319985,796683,595990,410998
"175989",794927,253792,802052,656268,76668
"179528",593483,793845,582121,582280,645568
"182839",236632,230710,755982,784543,502869
"184282",97221,73917,593101,593483,735973
"188347",780873,805368,55807,510836,254104
"189754",593483,328723,656268,306852,784644
"190943",226121,755431,793845,550783,418901
"191404",715799,571130,802052,593483,309436
"193038",698672,652660,91535,653459,784277
"198307",741398,735973,729317,53692,705509
"199844",528022,108890,75444,656268,291637
"200461",627188,570753,588020,387644,83498
"203658",582382,58211,302426,735973,593101
"205759",728144,319985,705423,528594,97221
"212050",342540,613088,450767,742160,158466
"213371",593483,779175,755431,418901,310722
"214531",418098,593483,320689,702124,698672
"217692",75444,174592,83498,306852,656268
"219276",55621,626872,758600,283621,591951
"221922",582382,357980,581342,608432,656268
"221943",283170,642190,789630,73208,708528
"222516",137026,379885,55709,342540,297220
"226121",190943,75444,678393,595990,137026
"230710",438089,182839,729317,683431,28871
"236180",550783,722997,152280,342540,221922
"236632",182839,437757,714243,551495,729317
"237017",742160,613088,705423,663697,593483
"240191",740374,638555,283170,137026,601882
"245927",787331,675886,780674,291637,667333
"247805",291637,431635,735973,631543,551495
"250702",647264,627188,75382,793845,291637
"250751",503629,480245,272597,528022,83498
"252080",593483,613088,608432,793845,83498
"253650",656268,746807,779175,593483,652660
"253792",56879,115795,744574,293514,652888
"254104",590681,431206,588059,82748,447151
"254800",431206,779297,729317,656268,588059
"255177",729260,673453,340994,721897,582382
"255202",528227,770281,379885,283170,300067
"255809",744386,589194,82748,328723,546221
"256670",384909,793845,811651,570478,568446
"258273",663390,667333,593101,306852,588116
"262394",663697,735973,222516,406794,83498
"265349",714884,44129,551495,656268,364728
"271787",291637,551495,43980,663697,550783
"272597",729260,601882,811651,83498,29051
"274688",505650,593483,601882,49552,588020
"276275",327285,402353,802052,589237,742160
"277011",719623,446592,118117,450767,705423
"282269",593483,568446,613088,744659,245927
"283170",579851,221943,240191,580978,772511
"283621",656268,771758,219276,553514,431206
"284319",779297,314082,580978,245927,735973
"286374",652575,418901,796683,450767,729395
"286500",171631,406794,551495,517092,783348
"289071",787331,770281,715856,551495,480245
"290701",729317,437757,793499,590236,784543
"291637",68290,171631,543932,245927,48076
"291752",742634,62801,714520,675886,698672
"293337",656268,679838,590681,25428,784543
"293514",645579,306852,546221,754020,171631
"294468",640623,589237,593483,245927,700797
"297220",551606,83498,222516,744520,787331
"300067",438089,253792,255202,38266,582121
"301220",783348,696113,802052,613088,505650
"302426",203658,168769,107195,437757,580978
"304082",744158,306852,575603,785432,418901
"304189",379885,563682,27886,768737,575603
"305200",555225,445660,582121,623123,356424
"305809",350271,387644,771758,314235,97221
"306852",304082,533623,293514,642247,784277
"307470",783348,702120,673453,141708,642190
"307497",431635,784277,57978,744659,55256
"308028",568446,63872,528227,656268,652660
"309436",740995,675886,550783,645568,663697
"310722",555225,168769,563682,345397,784543
"311124",645568,600983,706170,740995,794322
"311584",645568,528022,716107,802052,590236
"311694",779297,314082,580978,245927,735973
"314082",593483,311694,284319,742160,551495
"314235",422044,50515,63872,613088,570478
"319985",601882,682748,55868,744520,84057
"320689",759060,653596,361342,729260,755431
"327285",276275,396125,572208,590236,700797
"328723",760599,571130,387644,755431,255809
"331946",678393,714520,593101,802052,141708
"340994",97476,255177,645568,379885,291637
"342540",63872,212050,84057,171631,775655
"343094",431635,619662,543932,489832,652660
"345397",47061,310722,595990,97476,593483
"350271",642190,809177,305809,73208,685990
"356424",778820,582121,666142,503629,396125
"357980",483779,221922,728713,27886,570478
"361342",320689,319985,667305,43980,600983
"362458",27886,601882,55807,528022,319985
"363678",137026,719623,75444,515088,784543
"364728",528227,73208,474452,212050,553216
"366438",446999,705509,356424,83498,758600
"367107",705509,73208,544506,193038,600983
"367491",483779,364728,735973,780873,582121
"370870",55868,50570,696113,327285,561022
"378523",663390,64769,549310,438089,730965
"379143",624485,489418,441424,245927,31080
"379885",705423,441424,809177,304189,255202
"384909",256670,591951,666142,700993,593483
"387644",328723,590386,658049,305809,137026
"390894",643845,550783,779225,331946,698672
"396125",609202,327285,450767,356424,779225
"400325",489418,440992,600983,255809,735973
"402353",276275,422044,148132,755431,780674
"406794",539579,118117,588288,343094,286500
"408794",714520,158466,49552,168769,414917
"410998",783348,582121,174592,667305,802052
"414917",642190,350271,755982,698672,408794
"415619",652575,783348,771343,44391,445660
"418098",214531,742160,744659,595990,291637
"418901",82482,539579,286374,793845,613110
"422044",314235,402353,784277,663390,528227
"431206",254800,758600,254104,729317,793499
"431635",343094,307497,619662,713715,579851
"432233",551495,705423,613088,75444,73917
"434097",698672,758600,807531,670745,115795
"437757",118097,551495,679838,522471,290701
"438089",230710,300067,642190,780873,378523
"440992",400325,367107,744659,418901,593101
"441424",379885,62801,446999,75382,309436
"442105",642190,319985,582121,593483,793845
"443698",781253,700797,663390,590236,546221
"444935",809177,590386,555399,387644,158466
"445345",716107,698672,595990,255202,319985
"445660",450767,305200,415619,309436,588020
"446592",665134,807531,418901,277011,550783
"446999",366438,441424,553216,700901,483779
"447151",254104,75444,714884,137026,50523
"450767",445660,682461,601882,212050,715799
"451719",489418,600983,438089,595990,480245
"460469",794322,52490,291637,169356,306852
"462341",582030,62801,771758,293514,744659
"467103",553514,744659,619662,705423,784543
"474452",551495,719623,364728,55807,73917
"478448",489418,679838,314235,581342,254104
"480245",516482,283170,609202,732509,716107
"481664",728145,422044,107972,794927,272597
"483779",357980,758600,641875,619662,367491
"484836",744659,255202,784277,328723,82748
"485237",91535,755431,794322,595990,293514
"489418",451719,478448,400325,570478,327285
"489832",343094,593483,784277,83498,793845
"494433",716107,663697,46386,802052,53671
"495862",141708,758600,747847,642247,73917
"498514",719623,327285,582121,627213,681038
"502869",742160,728144,794322,50523,182839
"503629",570478,356424,379885,702120,250751
"505012",48076,67841,319985,305200,306852
"505650",600983,293514,807531,274688,301220
"505804",735973,593483,595990,27886,118097
"507598",675886,327285,291637,276275,744659
"510836",784644,364728,188347,593483,291637
"514946",634170,137026,444935,44129,550783
"515088",787331,363678,716107,528227,675886
"515921",582030,705423,418901,645568,73917
"516482",480245,724346,528704,91535,675886
"517092",760599,56879,593101,742634,732509
"517996",742160,551495,97221,593483,771758
"522471",794927,437757,546221,494433,811651
"528022",716107,199844,165833,553216,311584
"528227",689623,255202,364728,579851,483779
"528594",293514,205759,755431,639480,642190
"528704",516482,656268,590236,779225,387644
"530136",571130,582280,755431,588288,254104
"533623",634170,306852,387644,708528,590236
"538723",52490,343094,666142,570478,746807
"539579",418901,406794,715856,779225,283621
"543930",551495,783348,370870,593483,690757
"543932",719623,291637,343094,742160,666142
"544506",690757,367107,570478,141708,656268
"546221",293514,43980,255809,522471,25428
"549310",686018,656268,378523,645568,50518
"550783",236180,309436,606871,772511,800723
"551495",474452,432233,715799,652575,640623
"551606",297220,784543,418901,593483,758600
"552145",600983,253792,788351,601882,379885
"553216",528022,364728,446999,551495,675886
"553514",467103,551495,283621,608432,705423
"555225",310722,305200,363678,595990,779225
"555399",670745,444935,645568,783348,779175
"561022",744520,593483,621108,735973,370870
"561297",50515,291637,444935,645568,652575
"561713",62801,570478,608432,693432,272597
"563682",310722,96048,304189,705509,50570
"564826",735973,445660,62801,43980,182839
"565735",593483,528227,793499,379885,63872
"568005",784277,582030,27886,593483,378523
"568446",308028,624485,708528,73917,47061
"570478",590236,705509,589237,489418,728527
"570753",200461,656268,780873,730965,568446
"571029",698672,528022,309436,343094,645579
"571130",653459,530136,328723,191404,53692
"572208",327285,785432,48076,76668,673453
"575603",162467,130390,152280,304082,96048
"575615",255177,619662,438089,193038,735973
"579851",283170,595990,431635,528227,62801
"580978",44129,283170,754020,775655,760599
"581342",642190,643845,221922,478448,415619
"581869",705423,97221,793845,771758,73917
"582028",779225,415619,73917,700901,793499
"582030",515921,462341,694850,169356,568005
"582121",356424,410998,758600,755431,212050
"582135",47061,772511,568446,692906,663697
"582280",530136,715799,434097,785432,676922
"582382",203658,221922,52490,595990,255177
"584938",83498,793845,811651,705423,319985
"588020",130390,200461,746807,714884,118117
"588059",108890,254104,729317,254800,379885
"588116",68290,705935,450767,784644,52490
"588288",530136,406794,342540,182839,787331
"589194",255809,272597,327285,450767,570478
"589237",570478,276275,811651,418901,294468
"590236",570478,327285,746807,62801,645568
"590386",444935,387644,379885,83498,645568
"590681",254104,293337,418901,58211,253792
"591951",772511,384909,73917,219276,343094
"593101",800723,331946,517092,744574,719623
"593483",565735,758475,213371,214531,189754
"594474",639480,643845,779225,716107,601882
"595990",798189,702124,807531,62015,169356
"600983",505650,43109,552145,68290,593483
"601498",742160,705423,755431,634170,551495
"601882",319985,776288,450767,48076,801544
"606871",550783,693432,64769,642190,212050
"608432",735973,27886,744659,582121,47061
"609202",396125,593483,69042,480245,590236
"609250",802052,387644,343094,291637,705423
"612698",582121,593483,255202,50523,705423
"613088",667333,212050,237017,314235,758600
"613110",700901,784543,38266,418901,740995
"619662",663390,431635,343094,778820,788351
"620056",779225,793845,705423,219276,696113
"621108",561022,152280,27886,221922,652575
"623123",809177,305200,793845,613110,593483
"623652",431635,350271,528227,291637,276275
"623734",779225,811651,800095,744659,705423
"624485",654931,568446,555399,379143,75444
"626872",219276,387644,27886,735973,73917
"627188",771217,200461,639480,783348,327285
"627213",772511,498514,593101,97221,254104
"628465",319985,593483,742160,291637,364728
"629670",642190,291637,705423,437757,595990
"631543",642190,550783,582135,247805,342540
"632434",693675,595990,744659,652660,678393
"634170",514946,533623,593101,702124,297220
"637742",656268,789630,809177,593483,653596
"638555",240191,62801,601882,780674,83498
"639480",645568,594474,73917,627188,638555
"639981",83498,794322,779225,653459,528022
"640062",68290,68873,27886,645568,570478
"640623",551495,73917,294468,563682,735973
"641875",483779,755431,624485,582121,729317
"642190",350271,414917,221943,581342,606871
"642247",705935,746807,779225,306852,719623
"643845",581342,390894,594474,69042,307470
"645568",639480,702124,311584,555399,663390
"645579",293514,670745,327285,314235,755431
"647264",692906,254104,783348,250702,665250
"650232",27886,809177,309436,55868,551495
"650245",771343,27886,137026,642190,75444
"652575",286374,415619,551495,681038,705423
"652660",714520,193038,740616,44391,254104
"652888",253792,613088,601882,73917,656268
"653459",678393,571130,779297,809177,47061
"653596",784277,800723,320689,667305,551495
"654931",624485,601882,108890,698672,31080
"655216",665250,601882,624485,108890,698672
"656268",42970,728145,29051,702124,107195
"658049",387644,783348,613088,735973,272597
"660856",27886,253792,627188,304189,655216
"663390",619662,20168,258273,378523,645568
"663697",262394,494433,237017,309436,271787
"664697",679838,115795,593483,62801,754020
"665134",446592,779297,593483,595990,550783
"665250",655216,595990,647264,654931,83498
"666142",68873,780674,384909,642247,356424
"667305",780674,722997,728144,83498,653596
"667333",613088,258273,245927,97476,590236
"667928",729317,771758,291637,406794,115795
"669729",645568,62801,571130,550783,716107
"670745",555399,645579,434097,642190,27886
"670828",729317,809177,593483,705423,721897
"673453",255177,307470,794322,245927,730965
"675673",730965,431206,350271,595990,656268
"675886",49552,309436,245927,758600,705423
"676922",27886,73917,663697,593483,582280
"678393",653459,331946,714243,517092,31080
"679838",664697,478448,437757,293337,293514
"681038",652575,254800,387644,588020,700901
"682461",742160,450767,50523,705509,418901
"682748",319985,245927,698672,601882,652575
"683431",230710,693432,705423,450767,656268
"685990",713715,528022,350271,698672,73917
"686018",549310,319985,755431,779175,55807
"689623",528227,62801,115795,291637,608432
"690757",544506,115795,171631,705509,814991
"692906",647264,582135,516482,759402,283170
"693432",606871,683431,561713,319985,698672
"693675",632434,793845,528022,550783,781253
"694850",91535,150634,705423,115795,582030
"696113",301220,370870,637742,258273,588116
"698672",434097,193038,682748,115795,800095
"699991",784644,729317,480245,638555,601882
"700797",443698,327285,811651,253792,729317
"700901",83498,613110,446999,356424,29051
"700993",781253,384909,780873,601882,771343
"702120",307470,503629,679838,719623,283170
"702124",656268,645568,595990,27886,570478
"702894",593483,550783,601882,784277,528022
"703616",528022,309436,645568,706170,744574
"705423",379885,778820,97476,694850,744520
"705509",367107,570478,690757,814991,550783
"705935",588116,642247,784277,52490,784644
"706170",778820,311124,663697,703616,64769
"708528",809177,43980,568446,571130,533623
"713557",744659,168769,297220,802052,363678
"713715",118097,431635,685990,272597,623652
"714243",678393,815050,236632,816048,770281
"714520",331946,652660,408794,55621,489418
"714884",753720,447151,656268,728527,588020
"715799",27886,31080,191404,551495,450767
"715856",289071,539579,794322,793845,221943
"716107",778820,68873,528022,494433,445345
"716781",666142,553514,307470,75382,107195
"719623",498514,55807,543932,363678,474452
"721291",730965,56879,91535,601882,551495
"721897",255177,73917,304082,779175,254800
"722997",667305,236180,613088,771217,27886
"724346",516482,50515,568446,68873,68290
"728144",205759,75444,502869,62801,667305
"728145",656268,83498,768737,551495,481664
"728527",570478,714884,811651,80635,783348
"728713",779225,779175,357980,601882,656268
"729260",255177,272597,784543,705423,328723
"729317",73917,46386,290701,230710,758475
"729395",784644,286374,437757,793499,705423
"730916",656268,528227,319985,729317,730965
"730965",721291,64769,148132,364728,53067
"731834",293514,73917,708528,445660,665250
"732509",517092,480245,608432,158466,582135
"733654",595990,255202,551495,802052,214531
"734886",656268,705423,551495,735973,350271
"735973",608432,120872,593483,505804,262394
"740374",240191,705423,480245,222516,82748
"740616",652660,656268,601882,582121,639480
"740995",309436,783348,746807,593483,613110
"741043",784277,97221,771758,779297,639981
"741398",642190,613110,198307,608432,755431
"742160",682461,502869,237017,20168,162467
"742634",517092,291752,793845,255809,779297
"744158",84057,304082,794927,319985,595990
"744386",255809,783348,705423,293514,794322
"744520",561022,319985,705423,675886,297220
"744574",253792,593101,782254,742160,444935
"744659",75444,590236,713557,307497,608432
"746067",746807,705423,445660,647264,83498
"746807",740995,642247,590236,746067,101618
"747847",495862,550783,755431,690757,793845
"750743",755431,245927,613088,342540,402353
"751774",553514,528227,350271,779297,593483
"753720",714884,550783,437757,57978,768737
