"","Top1_Similar_Hotel","Top2_Similar_Hotel","Top3_Similar_Hotel","Top4_Similar_Hotel","Top5_Similar_Hotel"
"2818",793845,729317,735973,800723,642190
"20168",793845,406794,481664,705423,784277
"25428",793845,593483,481664,642190,783348
"27886",481664,593483,705423,297220,212050
"28871",793845,593483,350271,481664,735973
"29051",793845,350271,481664,735973,593483
"31080",481664,793845,406794,729317,550783
"38266",735973,793845,481664,350271,83498
"42970",793845,652660,481664,593483,735973
"43109",729317,481664,293514,735973,50570
"43980",481664,780873,570478,489418,342540
"44129",705423,528227,735973,793845,593483
"44391",729317,705423,481664,735973,652660
"46386",481664,793845,698672,593483,291637
"47061",593483,481664,62801,783348,350271
"48076",705423,481664,593483,735973,793845
"49552",793845,729317,350271,735973,705423
"50515",735973,481664,729317,593483,272597
"50518",729317,481664,656268,735973,593483
"50523",705423,481664,73917,793845,601882
"50570",481664,627188,705423,716107,297220
"52490",793845,705423,481664,735973,601882
"53067",793845,593483,528227,735973,601882
"53671",735973,793845,729317,481664,705423
"53692",793845,550783,319985,481664,728144
"55256",481664,793845,729317,593483,735973
"55621",481664,729317,608432,478448,595990
"55703",793845,729317,481664,729260,698672
"55709",793845,481664,729317,735973,550783
"55807",593483,481664,350271,253792,601882
"55868",593483,735973,481664,478448,293514
"56879",642190,793845,729317,481664,735973
"57978",705423,481664,642190,343094,735973
"58211",793845,593483,550783,293514,716781
"62015",481664,793845,705423,729317,735973
"62801",75444,481664,735973,729317,47061
"63872",729317,705423,793845,481664,735973
"64736",793845,481664,593483,705423,735973
"64769",793845,735973,593483,481664,729317
"67841",705423,551495,406794,793845,481664
"68290",705423,729317,735973,698672,593483
"68873",705423,698672,729317,735973,593483
"69042",705423,350271,793845,735973,481664
"73208",705423,481664,667333,528227,27886
"73917",642190,406794,627188,735973,593483
"75382",705423,642190,350271,735973,595990
"75444",793845,593483,62801,528227,350271
"76668",793845,406794,481664,593483,237017
"80635",406794,784277,481664,793845,705423
"82482",793845,735973,481664,705423,593483
"82748",481664,551495,343094,729317,793845
"83498",793845,705423,593483,350271,652660
"83814",481664,601882,793845,705423,406794
"84057",793845,735973,593483,705423,729317
"91535",793845,735973,481664,729317,705423
"96048",793845,481664,517092,735973,783348
"97221",793845,652660,350271,794322,258273
"97476",793845,593483,735973,729317,772511
"101618",593483,793845,481664,793499,735973
"107195",481664,729317,652660,793845,245927
"107972",793845,588288,705423,73917,350271
"108890",793845,169356,642190,729317,705423
"115795",481664,642190,793845,729317,593483
"118097",793845,571130,705423,729317,735973
"118117",793845,481664,735973,593483,350271
"118302",481664,593483,705423,350271,729317
"120872",705423,481664,645568,73917,793845
"130390",705423,481664,245927,666142,418901
"137026",593483,793845,705423,550783,595990
"141708",481664,729317,595990,550783,793845
"148132",705423,481664,729317,793845,245927
"150634",705423,481664,779225,245927,593483
"152280",793845,481664,735973,593483,698672
"158466",793845,593483,481664,627213,595990
"162467",705423,729317,481664,73917,735973
"165833",793845,481664,705423,729317,735973
"168769",705423,784277,481664,406794,645568
"169356",108890,729317,481664,406794,793845
"171054",729317,481664,379885,418901,735973
"171631",793845,735973,595990,714243,550783
"174592",793845,550783,481664,729317,735973
"175989",793845,481664,705423,593483,735973
"179528",705423,108890,798941,481664,772511
"182839",729317,481664,793845,705423,793499
"184282",793845,481664,729317,350271,593483
"188347",793845,481664,729317,705423,350271
"189754",793845,705423,729317,735973,481664
"190943",729317,705423,379885,735973,642190
"191404",705423,481664,350271,307497,729317
"193038",406794,517092,478448,550783,450767
"198307",350271,481664,735973,741398,729317
"199844",481664,793845,729317,735973,705423
"200461",793845,481664,645568,705423,652660
"203658",705423,481664,793845,291637,489418
"205759",528227,481664,735973,783348,779225
"212050",705423,593483,481664,735973,793845
"213371",793845,705423,481664,350271,735973
"214531",793845,481664,729317,406794,735973
"217692",729317,793845,481664,735973,350271
"219276",705423,481664,665250,793845,575603
"221922",481664,793845,221943,653459,735973
"221943",793845,735973,593483,62801,481664
"222516",481664,729317,314235,25428,575603
"226121",593483,793845,481664,729317,601882
"230710",481664,735973,593483,293514,793845
