"","Top1_Similar_Hotel","Top2_Similar_Hotel","Top3_Similar_Hotel","Top4_Similar_Hotel","Top5_Similar_Hotel"
"2818",593483,705423,481664,793845,729317
"20168",593483,705423,481664,793845,729317
"25428",593483,705423,481664,793845,729317
"27886",593483,705423,481664,793845,729317
"28871",593483,705423,481664,793845,729317
"29051",593483,705423,481664,793845,729317
"31080",593483,705423,481664,793845,729317
"38266",593483,705423,481664,793845,729317
"42970",593483,705423,481664,793845,729317
"43109",593483,705423,481664,793845,729317
"43980",593483,705423,481664,793845,729317
"44129",593483,705423,481664,793845,729317
"44391",593483,705423,481664,793845,729317
"46386",593483,705423,481664,793845,729317
"47061",593483,705423,481664,793845,729317
"48076",593483,705423,481664,793845,729317
"49552",593483,705423,481664,793845,729317
"50515",593483,705423,481664,793845,729317
"50518",593483,705423,481664,793845,729317
"50523",593483,705423,481664,793845,729317
"50570",593483,705423,481664,793845,729317
"52490",593483,705423,481664,793845,729317
"53067",593483,705423,481664,793845,729317
"53671",593483,705423,481664,793845,729317
"53692",593483,705423,481664,793845,729317
"55256",593483,705423,481664,793845,729317
"55621",593483,705423,481664,793845,729317
"55703",593483,705423,481664,793845,729317
"55709",593483,705423,481664,793845,729317
"55807",593483,705423,481664,793845,729317
"55868",593483,705423,481664,793845,729317
"56879",593483,705423,481664,793845,729317
"57978",593483,705423,481664,793845,729317
"58211",593483,705423,481664,793845,729317
"62015",593483,705423,481664,793845,729317
"62801",593483,705423,481664,793845,729317
"63872",593483,705423,481664,793845,729317
"64736",593483,705423,481664,793845,729317
"64769",593483,705423,481664,793845,729317
"67841",593483,705423,481664,793845,729317
"68290",593483,705423,481664,793845,729317
"68873",593483,705423,481664,793845,729317
"69042",593483,705423,481664,793845,729317
"73208",593483,705423,481664,793845,729317
"73917",593483,705423,481664,793845,729317
"75382",593483,705423,481664,793845,729317
"75444",593483,705423,481664,793845,729317
"76668",593483,705423,481664,793845,729317
"80635",593483,705423,481664,793845,729317
"82482",593483,705423,481664,793845,729317
"82748",593483,705423,481664,793845,729317
"83498",593483,705423,481664,793845,729317
"83814",593483,705423,481664,793845,729317
"84057",593483,705423,481664,793845,729317
"91535",593483,705423,481664,793845,729317
"96048",593483,705423,481664,793845,729317
"97221",593483,705423,481664,793845,729317
"97476",593483,705423,481664,793845,729317
"101618",593483,705423,481664,793845,729317
"107195",593483,705423,481664,793845,729317
"107972",593483,705423,481664,793845,729317
"108890",593483,705423,481664,793845,729317
"115795",593483,705423,481664,793845,729317
"118097",593483,705423,481664,793845,729317
"118117",593483,705423,481664,793845,729317
"118302",593483,705423,481664,793845,729317
"120872",593483,705423,481664,793845,729317
"130390",593483,705423,481664,793845,729317
"137026",593483,705423,481664,793845,729317
"141708",593483,705423,481664,793845,729317
"148132",593483,705423,481664,793845,729317
"150634",593483,705423,481664,793845,729317
"152280",593483,705423,481664,793845,729317
"158466",593483,705423,481664,793845,729317
"162467",593483,705423,481664,793845,729317
"165833",593483,705423,481664,793845,729317
"168769",593483,705423,481664,793845,729317
"169356",593483,705423,481664,793845,729317
"171054",593483,705423,481664,793845,729317
"171631",593483,705423,481664,793845,729317
"174592",593483,705423,481664,793845,729317
"175989",593483,705423,481664,793845,729317
"179528",593483,705423,481664,793845,729317
"182839",593483,705423,481664,793845,729317
"184282",593483,705423,481664,793845,729317
"188347",593483,705423,481664,793845,729317
"189754",593483,705423,481664,793845,729317
"190943",593483,705423,481664,793845,729317
"191404",593483,705423,481664,793845,729317
"193038",593483,705423,481664,793845,729317
"198307",593483,705423,481664,793845,729317
"199844",593483,705423,481664,793845,729317
"200461",593483,705423,481664,793845,729317
"203658",593483,705423,481664,793845,729317
"205759",593483,705423,481664,793845,729317
"212050",593483,705423,481664,793845,729317
"213371",593483,705423,481664,793845,729317
"214531",593483,705423,481664,793845,729317
"217692",593483,705423,481664,793845,729317
"219276",593483,705423,481664,793845,729317
"221922",593483,705423,481664,793845,729317
"221943",593483,705423,481664,793845,729317
"222516",593483,705423,481664,793845,729317
"226121",593483,705423,481664,793845,729317
"230710",593483,705423,481664,793845,729317
"236180",593483,705423,481664,793845,729317
"236632",593483,705423,481664,793845,729317
"237017",593483,705423,481664,793845,729317
"240191",593483,705423,481664,793845,729317
"245927",593483,705423,481664,793845,729317
"247805",593483,705423,481664,793845,729317
"250702",593483,705423,481664,793845,729317
"250751",593483,705423,481664,793845,729317
"252080",593483,705423,481664,793845,729317
"253650",593483,705423,481664,793845,729317
"253792",593483,705423,481664,793845,729317
"254104",593483,705423,481664,793845,729317
"254800",593483,705423,481664,793845,729317
"255177",593483,705423,481664,793845,729317
"255202",593483,705423,481664,793845,729317
"255809",593483,705423,481664,793845,729317
"256670",593483,705423,481664,793845,729317
"258273",593483,705423,481664,793845,729317
"262394",593483,705423,481664,793845,729317
"265349",593483,705423,481664,793845,729317
"271787",593483,705423,481664,793845,729317
