"","Top1_Similar_Hotel","Top2_Similar_Hotel","Top3_Similar_Hotel","Top4_Similar_Hotel","Top5_Similar_Hotel"
"2818",793845,437757,800723,356424,729317
"20168",793845,784277,406794,705423,593483
"25428",793845,593483,481664,779175,735973
"27886",593483,481664,793845,212050,286374
"28871",350271,793845,593483,481664,245927
"29051",350271,793845,593483,481664,735973
"31080",481664,729317,793845,83498,744659
"38266",735973,350271,793845,755431,729317
"42970",793845,652660,593483,696113,481664
"43109",481664,735973,729317,793845,755431
"43980",780873,793845,735973,729317,809177
"44129",735973,793845,729317,788351,481664
"44391",793845,735973,729317,343094,302426
"46386",481664,729317,793845,735973,755431
"47061",593483,729317,793845,779175,744659
"48076",729317,793845,735973,52490,350271
"49552",793845,729317,593483,705423,588020
"50515",735973,729317,481664,793845,770281
"50518",481664,729317,350271,793845,779225
"50523",481664,350271,719623,73917,528227
"50570",735973,481664,627188,528022,58211
"52490",793845,705423,350271,481664,755431
"53067",793845,528227,593483,272597,307497
"53671",793845,735973,593483,784277,729317
"53692",793845,735973,593483,550783,517092
"55256",793845,593483,481664,729317,350271
"55621",608432,729317,793845,481664,744659
"55703",793845,729317,481664,608432,528022
"55709",793845,735973,481664,729317,343094
"55807",350271,481664,593483,793845,694850
"55868",793845,735973,593483,729317,478448
"56879",793845,27886,642190,729317,735973
"57978",481664,793845,735973,619662,343094
"58211",793845,593483,528227,571130,716781
"62015",793845,729317,481664,705423,343094
"62801",481664,735973,75444,645568,729317
"63872",729317,793845,770281,302426,308028
"64736",793845,481664,302426,729317,593483
"64769",793845,735973,729317,593483,481664
"67841",551495,793845,570753,68873,735973
"68290",793845,593483,705423,729317,582121
"68873",793845,593483,698672,582121,705423
"69042",350271,793845,593483,735973,705423
"73208",481664,793845,27886,367107,551495
"73917",627188,793845,83814,735973,50523
"75382",793845,642190,595990,643845,705423
"75444",793845,593483,528227,62801,350271
"76668",793845,593483,171631,406794,686018
"80635",705423,793845,784277,302426,601882
"82482",793845,705423,735973,593483,656268
"82748",481664,729317,343094,793845,551495
"83498",793845,350271,502869,141708,588020
"83814",481664,793845,350271,73917,735973
"84057",793845,593483,642190,735973,555399
"91535",735973,481664,793845,627188,729317
"96048",793845,770281,705423,716107,528227
"97221",793845,350271,698672,755431,593483
"97476",793845,735973,705423,593483,729317
"101618",793845,770281,593483,705509,528227
"107195",729317,481664,793845,735973,343094
"107972",793845,551495,779175,735973,307497
"108890",735973,481664,755431,694850,169356
"115795",793845,350271,481664,698672,593483
"118097",793845,784277,593483,571130,528227
"118117",350271,793845,595990,481664,593483
"118302",481664,350271,729317,793845,735973
"120872",481664,343094,735973,793845,729317
"130390",350271,245927,481664,418901,793845
"137026",793845,593483,571130,705423,272597
"141708",735973,83498,481664,729317,793845
"148132",350271,793845,481664,705423,245927
"150634",350271,481664,793845,245927,779225
"152280",793845,350271,481664,390894,705423
"158466",793845,350271,595990,627213,481664
"162467",729317,481664,793845,779175,350271
"165833",793845,729317,551495,27886,481664
"168769",784277,705423,793845,686018,302426
"169356",729317,108890,793845,593483,744659
"171054",729317,793845,779175,528227,75382
"171631",735973,793845,714243,595990,729317
"174592",350271,735973,729317,481664,755431
"175989",793845,593483,735973,729317,343094
"179528",793845,593483,108890,478448,705423
"182839",729317,481664,793845,770281,755431
"184282",793845,729317,705423,97221,593483
"188347",793845,350271,245927,481664,755431
"189754",793845,705423,593483,652660,729317
"190943",481664,245927,350271,729317,793845
"191404",481664,729317,350271,802052,694850
"193038",793845,784277,406794,478448,652660
"198307",350271,481664,735973,729317,793845
"199844",793845,735973,729317,481664,705423
"200461",793845,570753,729317,481664,27886
"203658",481664,793845,788351,735973,528594
"205759",481664,735973,729317,779225,350271
"212050",735973,27886,289071,481664,793845
"213371",793845,593483,705423,571130,729317
"214531",793845,406794,705509,652660,593483
"217692",729317,793845,593483,350271,481664
