"","Hybrid_Top1_Hotel","Hybrid_Top2_Hotel","Hybrid_Top3_Hotel","Hybrid_Top4_Hotel","Hybrid_Top5_Hotel","Hybrid_Top6_Hotel"
"57920","445345","240191","546221","107195","171631","182839"
"142145","73208","730965","590236","75444","25428","38266"
"186729","290701","590236","73208","55703","148132","158466"
"187580","80635","198307","584938","53692","83814","171631"
"195580","236632","514946","550783","75382","191404","237017"
"195859","255809","637742","724346","188347","262394","297220"
"201541","193038","276275","731834","50523","53692","55621"
"216385","291752","507598","379143","55256","62015","226121"
"241336","755982","582030","714884","82748","283170","283621"
"262799","271787","759060","189754","43109","55703","193038"
"270282","169356","198307","379885","55621","108890","141708"
"294984","700797","434097","75444","84057","97221","118117"
"306166","255809","724346","328723","29051","38266","49552"
"312863","494433","729395","193038","52490","141708","212050"
"358394","255202","693432","715799","55709","247805","549310"
"389681","120872","478448","255202","319985","623734","741043"
"399461","590681","800095","271787","49552","50518","53067"
"424325","118097","342540","623734","107972","182839","262394"
"453818","179528","293337","553216","50523","148132","214531"
"458267","451719","791690","612698","158466","198307","255177"
"468497","182839","69042","83498","2818","53671","57978"
"494281","564826","284319","311124","205759","219276","345397"
"505271","528227","768737","568446","56879","271787","356424"
"510307","291752","91535","75382","50515","214531","289071"
"521338","361342","613088","715799","254800","291752","331946"
"522491","27886","754613","252080","379885","414917","593101"
"531200","284319","364728","162467","203658","276275","502869"
"532034","55621","49552","50518","69042","236180","370870"
"534213","619662","623734","250702","43109","58211","73917"
"549167","588059","816048","304189","107195","169356","254104"
"571678","771217","402353","245927","118302","175989","226121"
"619612","68873","277011","641875","277011","544506","582028"
"627962","350271","162467","253650","25428","446592","620056"
"662664","591951","212050","253650","44391","188347","589194"
"673543","83498","498514","56879","55256","304189","350271"
"692831","760035","770281","546221","2818","50515","53671"
"699671","289071","200461","48076","50515","645579","667928"
"739084","222516","57978","667305","758475","44129","294468"
"750244","75382","162467","221922","38266","50518","304082"
"796812","255809","637742","62015","68873","76668","82482"
"798559","283621","517996","658049","62015","118097","221943"
"808981","237017","716107","179528","118302","250702","414917"
"887792","29051","73208","118097","510836","788351","801544"
"913549","327285","357980","56879","25428","31080","43980"
"922621","780873","366438","64736","44391","48076","533623"
"934348","783348","503629","639981","20168","53692","101618"
"950010","770281","362458","444935","274688","480245","27886"
"965667","713715","130390","289071","29051","55709","96048"
"995697","627213","650245","744659","55703","55807","179528"
"1005087","190943","693432","793845","82748","158466","307470"
"1008875","168769","97221","364728","56879","137026","485237"
"1023895","50515","97221","642247","2818","20168","25428"
"1030587","236180","474452","555225","48076","52490","150634"
"1094489","779225","28871","50523","67841","294468","485237"
"1135786","84057","107195","174592","44391","107972","199844"
"1139469","460469","283621","379143","43980","44391","255177"
"1141485","533623","305809","703616","254800","563682","582121"
"1178877","571029","510836","396125","108890","627213","652888"
"1185852","189754","683431","410998","53067","58211","67841"
"1211966","431635","44391","200461","174592","247805","314235"
"1219810","575615","64769","219276","31080","38266","118097"
"1221415","31080","444935","753720","80635","305200","600983"
"1221888","253650","732509","754613","58211","62801","73208"
"1256454","293337","505650","665134","28871","42970","50570"
"1259411","328723","415619","641875","62015","73917","107972"
"1271678","714520","400325","696113","431635","528594","665250"
"1283321","589237","623652","768274","42970","82748","255809"
"1305208","551606","582121","606871","165833","174592","431635"
"1308801","83814","43980","115795","219276","443698","715799"
"1312133","489832","705423","107195","50518","115795","422044"
"1319480","291752","62015","589237","289071","663390","705423"
"1325697","58211","118117","290701","247805","320689","505012"
"1336633","772511","747847","307497","67841","271787","431206"
"1337152","505650","515921","591951","44391","169356","198307"
"1337537","446592","744659","627213","57978","83814","522471"
"1347048","190943","217692","715799","2818","46386","82748"
"1350388","327285","356424","758600","48076","107195","171054"
"1352286","485237","67841","75382","754020","297220","301220"
"1365084","516482","190943","445345","653596","714243","722997"
"1406783","650245","64769","682748","130390","245927","579851"
"1421901","171054","120872","188347","55256","137026","198307"
"1448980","367491","582028","685990","584938","50570","63872"
"1464510","236632","396125","608432","2818","49552","58211"
"1468271","319985","714884","200461","169356","250751","613110"
"1477191","378523","744659","152280","253650","306852","311694"
"1486411","431206","807269","55621","73917","83498","222516"
"1488099","91535","366438","544506","31080","42970","384909"
"1500608","561713","815050","758600","25428","44129","165833"
"1501819","297220","485237","27886","49552","730916","42970"
"1502797","53671","418098","700993","29051","169356","175989"
