"","Top1_Hotel","Top2_Hotel","Top3_Hotel","Top4_Hotel","Top5_Hotel"
"57920","64769","171631","182839","221922","528594"
"142145","400325","700797","2818","29051","50570"
"186729","591951","50523","53067","83814","148132"
"187580","53692","55868","58211","75382","152280"
"195580","55703","118302","120872","150634","191404"
"195859","44391","62801","67841","97221","188347"
"201541","50518","53671","362458","462341","699991"
"216385","29051","31080","55709","73208","137026"
"241336","53671","118302","283621","505012","56879"
"262799","43109","55868","73917","137026","568005"
"270282","193038","307470","481664","571130","670828"
"294984","49552","50523","73208","214531","530136"
"306166","38266","44129","44391","49552","62015"
"312863","2818","29051","44129","47061","52490"
"358394","63872","101618","118117","539579","571130"
"389681","50570","53067","55868","115795","179528"
"399461","25428","300067","340994","396125","572208"
"424325","44391","47061","50515","52490","53067"
"453818","73917","304082","311694","533623","623123"
"458267","484836","571029","572208","641875","43109"
"468497","53671","57978","108890","379885","410998"
"494281","63872","205759","276275","379885","481664"
"505271","27886","52490","57978","96048","271787"
"510307","31080","214531","289071","300067","451719"
"521338","97221","200461","253650","254800","271787"
"522491","276275","314082","320689","379885","546221"
"531200","46386","50570","107195","502869","564826"
"532034","255177","290701","291752","366438","379143"
"534213","38266","43109","53692","58211","73917"
"549167","230710","254104","408794","581342","784644"
"571678","50570","118097","118302","171631","175989"
"619612","277011","293514","544506","582028","760035"
"627962","193038","415619","753720","779225","613110"
"662664","52490","193038","221922","276275","406794"
"673543","474452","814991","38266","47061","53692"
"692831","118302","311694","480245","507598","665250"
"699671","255177","483779","555225","581869","645579"
"739084","171054","188347","212050","237017","467103"
"750244","55703","130390","203658","254800","255202"
"796812","44129","68290","68873","82482","141708"
"798559","2818","43980","55709","64769","307470"
"808981","64736","184282","200461","250702","254800"
"887792","200461","327285","379143","570478","582135"
"913549","621108","28871","50523","53671","67841"
"922621","44391","107195","217692","253792","265349"
"934348","2818","29051","48076","53692","55256"
"950010","53671","55709","82482","190943","265349"
"965667","50518","55709","108890","193038","198307"
"995697","96048","582121","582135","28871","150634"
"1005087","517092","807531","62015","82748","174592"
