"","Top1_Hotel","Top2_Hotel","Top3_Hotel","Top4_Hotel","Top5_Hotel"
"57920","171631","182839","543930","675673","682461"
"142145","75444","25428","43980","118117","219276"
"186729","50523","148132","158466","271787","277011"
"187580","50515","53692","171631","190943","193038"
"195580","118302","120872","191404","314235","528227"
"195859","67841","73208","188347","262394","297220"
"201541","27886","50523","53692","55621","55703"
"216385","73208","214531","613110","624485","667333"
"241336","53671","82748","283170","283621","443698"
"262799","43109","55703","245927","408794","568005"
"270282","29051","55621","108890","120872","141708"
"294984","84057","118117","169356","307497","350271"
"306166","38266","49552","62015","64769","67841"
"312863","47061","52490","83498","221943","362458"
"358394","571130","741398","793499","75444","42970"
"389681","50523","247805","319985","561713","689623"
"399461","49552","50518","53067","199844","291637"
"424325","50570","107972","141708","182839","262394"
"453818","311694","623123","658049","816048","345397"
"458267","50570","158466","198307","255177","255202"
"468497","2818","53671","57978","108890","410998"
"494281","205759","276275","481664","485237","517996"
"505271","56879","96048","222516","271787","307497"
"510307","214531","289071","514946","538723","663390"
"521338","254800","331946","370870","431206","447151"
"522491","320689","379885","546221","189754","44391"
"531200","107195","203658","502869","564826","675886"
"532034","42970","236180","467103","498514","543932"
"534213","43109","58211","73917","82482","120872"
"549167","107195","169356","254104","340994","384909"
"571678","118302","175989","226121","265349","400325"
"619612","277011","293514","544506","582028","760035"
"627962","25428","193038","446592","82482","387644"
"662664","340994","589194","744574","778820","52490"
"673543","168769","283170","304189","445660","565735"
"692831","2818","53671","55703","115795","118302"
"699671","50515","620056","645579","667928","43980"
"739084","212050","606871","608432","758475","44129"
"750244","38266","50518","304082","306852","632434"
"796812","68873","82482","150634","188347","293514"
"798559","96048","118097","221943","364728","379885"
"808981","64736","118302","184282","250702","414917"
"887792","801544","474452","485237","564826","809177"
"913549","25428","43980","50515","52490","55703"
"922621","44391","48076","107195","283170","533623"
"934348","20168","53692","62015","67841","69042"
"950010","188347","274688","480245","489418","654931"
"965667","55709","118302","169356","193038","198307"
"995697","55703","367491","495862","551495","553514"
"1005087","82748","158466","212050","245927","283170"
"1008875","52490","137026","485237","634170","43980"
"1023895","2818","20168","25428","29051","44391"
"1030587","48076","52490","150634","255809","305809"
"1094489","485237","495862","581342","629670","107195"
"1135786","44391","304082","305200","370870","422044"
"1139469","43980","255177","258273","297220","304189"
"1141485","254800","621108","627213","563682","55703"
"1178877","80635","108890","311124","650232","652888"
"1185852","53067","58211","67841","282269","311584"
"1211966","174592","314235","505012","714520","58211"
"1219810","31080","68290","118097","255809","284319"
"1221415","80635","650245","189754","600983","608432"
"1221888","25428","50570","58211","62801","68290"
"1256454","47061","174592","304082","498514","505012"
