"","Top1_Hotel","Top2_Hotel","Top3_Hotel","Top4_Hotel","Top5_Hotel"
"57920","64769","171631","182839","221922","528594"
"142145","447151","2818","29051","50570","53692"
"186729","50523","53067","83814","148132","158466"
"187580","670745","53692","55868","58211","75382"
"195580","55703","118302","120872","150634","191404"
"195859","44391","62801","67841","97221","188347"
"201541","245927","328723","561297","713715","776288"
"216385","29051","31080","55709","73208","137026"
"241336","53671","56879","82748","118302","283170"
"262799","43109","55868","73917","137026","245927"
"270282","96048","276275","361342","564826","584938"
"294984","49552","50523","73208","214531","530136"
"306166","38266","44129","44391","49552","62015"
"312863","2818","29051","44129","47061","52490"
"358394","63872","101618","118117","539579","571130"
"389681","179528","43109","50570","53067","55807"
"399461","25428","43980","50523","50570","53692"
"424325","44391","47061","50515","52490","53067"
"453818","73917","304082","311694","533623","623123"
"458267","50515","55256","55621","55868","62801"
"468497","53671","57978","108890","379885","410998"
"494281","582382","63872","205759","276275","379885"
"505271","27886","52490","56879","57978","96048"
"510307","31080","214531","289071","300067","451719"
"521338","568446","97221","200461","253650","254800"
"522491","276275","314082","320689","379885","546221"
"531200","46386","50570","107195","203658","502869"
"532034","255177","290701","291752","366438","379143"
"534213","38266","43109","53692","58211","73917"
"549167","43109","57978","107195","158466","169356"
"571678","50570","118097","118302","171631","175989"
"619612","277011","293514","544506","582028","760035"
"627962","193038","415619","753720","779225","25428"
"662664","52490","193038","221922","276275","309436"
"673543","38266","47061","53692","55703","75382"
"692831","606871","55703","115795","118302","191404"
"699671","255177","483779","555225","581869","645579"
"739084","171054","188347","212050","237017","467103"
"750244","510836","715799","729317","2818","20168"
"796812","44129","68290","68873","82482","141708"
"798559","2818","31080","43980","53671","55709"
"808981","64736","184282","200461","250702","254800"
"887792","107195","565735","705423","728713","805368"
"913549","107972","621108","783348","28871","50523"
"922621","44391","107195","217692","253792","265349"
"934348","2818","29051","48076","53692","55256"
"950010","53671","55709","82482","162467","190943"
"965667","50518","55709","108890","193038","198307"
"995697","28871","55703","96048","150634","253650"
"1005087","82748","158466","174592","212050","217692"
"1008875","52490","137026","190943","485237","634170"
"1023895","29051","44391","62801","73917","171054"
"1030587","250702","258273","305200","507598","686018"
"1094489","50518","107195","254800","345397","568446"
"1135786","28871","38266","43980","48076","49552"
"1139469","43980","255177","258273","297220","304189"
"1141485","253792","254800","301220","621108","755431"
"1178877","28871","55868","80635","108890","182839"
"1185852","53067","58211","64769","67841","120872"
"1211966","174592","219276","265349","314235","402353"
"1219810","48076","53671","67841","213371","221943"
"1221415","274688","514946","28871","29051","48076"
"1221888","29051","55703","55709","62801","68290"
"1256454","327285","25428","50515","68873","82482"
"1259411","193038","669729","779225","28871","50515"
"1271678","171054","182839","198307","311124","484836"
"1283321","42970","82748","175989","291752","550783"
"1305208","118302","174592","431635","553514","645568"
"1308801","20168","137026","217692","441424","467103"
"1312133","115795","240191","272597","276275","370870"
"1319480","289071","451719","483779","663390","783348"
"1325697","553514","44391","62015","174592","247805"
"1336633","582121","619662","43109","48076","53067"
"1337152","2818","31080","48076","49552","50570"
"1337537","49552","57978","58211","67841","91535"
"1347048","418901","445660","634170","670745","702894"
"1350388","650245","20168","50523","53692","55709"
"1352286","38266","301220","314235","362458","370870"
"1365084","64736","175989","222516","237017","255202"
"1406783","728144","53671","250751","271787","314082"
"1421901","137026","198307","551495","582121","742160"
"1448980","20168","25428","27886","28871","38266"
"1464510","171054","310722","664697","740995","789743"
"1468271","42970","50518","53671","57978","82482"
"1477191","50570","214531","253650","306852","311694"
"1486411","43980","53067","73917","222516","282269"
"1488099","43109","44391","55703","57978","63872"
"1500608","690757","49552","236180","262394","345397"
"1501819","47061","49552","55807","198307","247805"
"1502797","38266","283621","396125","653459","665250"
"1518360","198307","379885","31080","53692","64736"
"1539253","27886","50570","55256","55703","64736"
"1542832","52490","67841","137026","271787","294468"
"1552059","27886","250751","387644","415619","555399"
"1557267","75444","137026","171054","306852","331946"
"1573009","306852","431635","62801","84057","184282"
"1598424","44129","55256","150634","258273","274688"
"1602026","31080","38266","50570","69042","118097"
"1609042","384909","505012","43109","44129","49552"
"1609969","49552","97476","174592","408794","517092"
"1626796","84057","158466","198307","200461","212050"
"1640555","115795","169356","217692","361342","478448"
"1642815","50515","55703","84057","174592","289071"
"1647820","50518","169356","175989","300067","308028"
"1657165","75382","255809","418098","489418","505650"
"1661620","446592","650232","663390","714243","779225"
"1663866","42970","46386","53692","55256","55703"
"1670066","69042","193038","402353","543930","713715"
"1696020","48076","255809","290701","505650","510836"
"1738291","29051","50523","53067","55256","58211"
"1772563","55621","169356","175989","184282","291752"
"1793895","271787","319985","356424","415619","444935"
"1803801","69042","628465","650232","713715","29051"
"1831568","800723","52490","55703","82748","115795"
"1856394","38266","53671","107972","364728","698672"
"1882741","693432","28871","50518","64736","107972"
"1898757","68873","69042","150634","171054","221943"
"1899420","47061","64769","68873","82482","118117"
"1954555","2818","38266","43109","53671","75382"
"2008330","25428","27886","62015","69042","221922"
"2030990","20168","47061","49552","50570","179528"
"2047798","431635","55256","174592","379143","422044"
"2064560","230710","255177","283621","450767","474452"
"2105984","588059","44129","58211","62015","63872"
"2113812","38266","137026","162467","272597","319985"
"2131687","62801","438089","670745","776288","807531"
"2188439","55256","73208","226121","255202","291637"
"2191037","27886","53067","169356","252080","286500"
"2191136","771758","20168","38266","43980","53067"
"2197822","50515","53692","62015","97221","97476"
"2210060","49552","52490","168769","169356","253650"
"2293300","300067","410998","484836","552145","634170"
"2296088","31080","68873","213371","214531","254800"
"2296343","237017","507598","639981","682748","758475"
"2315881","82748","83814","311124","379885","481664"
"2324005","2818","50523","56879","82748","118302"
"2327267","52490","64736","307470","467103","484836"
"2341442","20168","55709","272597","498514","510836"
"2342196","265349","306852","507598","575603","694850"
"2354909","165833","175989","217692","319985","406794"
"2358043","165833","174592","440992","502869","505650"
"2369370","58211","301220","553216","568446","689623"
"2387332","2818","31080","67841","84057","97221"
"2395278","43109","43980","50523","55703","199844"
"2405157","48076","62801","73208","168769","286500"
"2411384","771343","42970","50570","53067","53671"
"2439449","236180","370870","741043","327285","432233"
"2450395","682748","772511","44391","68873","75382"
"2460218","25428","101618","174592","265349","284319"
"2460925","38266","62015","162467","255809","284319"
"2461413","53067","63872","83814","179528","191404"
"2493425","43980","47061","50518","118302","162467"
"2499364","47061","67841","83498","91535","97221"
"2510107","29051","50518","52490","53692","55807"
"2524784","42970","50570","55703","83814","107972"
"2526812","53671","58211","62015","80635","107972"
"2536879","431206","462341","746067","27886","44391"
