"","Top1_Hotel","Top2_Hotel","Top3_Hotel","Top4_Hotel","Top5_Hotel"
"57920","294468","304189","320689","327285","793845"
"142145","43109","311584","402353","434097","571029"
"186729","58211","293337","447151","568005","80635"
"187580","171631","640623","758600","800095","305200"
"195580","364728","785432","801544","219276","286374"
"195859","97221","442105","528022","673453","55621"
"201541","67841","357980","184282","340994","517092"
"216385","286374","561713","665134","758475","64769"
"241336","772511","528594","716107","27886","46386"
"262799","485237","64769","286374","390894","645579"
"270282","55621","410998","571029","588059","631543"
"294984","489832","43109","171631","286374","728713"
"306166","97221","286374","293514","370870","528022"
"312863","55621","73208","84057","189754","441424"
"358394","742160","331946","363678","402353","505012"
"389681","55256","682748","779175","27886","64736"
"399461","64769","83814","152280","514946","549310"
"424325","49552","50570","75444","590236","613088"
"453818","579851","700901","741043","50570","75444"
"458267","137026","307497","406794","462341","517092"
"468497","27886","319985","343094","627213","716107"
"494281","582382","47061","48076","84057","226121"
"505271","328723","342540","575615","612698","650245"
"510307","758475","728713","191404","528704","640062"
"521338","689623","807531","158466","431635","517092"
"522491","50515","564826","83498","83814","286500"
"531200","779175","528704","593101","638555","641875"
"532034","42970","370870","700901","379143","494433"
"534213","43109","445345","650245","785432","27886"
"549167","64769","307470","640623","643845","55703"
"571678","83498","505012","665134","528704","740374"
"619612","575615","593483","609250","620056","63872"
"627962","314082","759402","62015","184282","200461"
"662664","589194","515921","555225","84057","101618"
"673543","356424","582030","713557","729260","772511"
"692831","55709","230710","307470","444935","660856"
"699671","314235","361342","406794","593483","791690"
"739084","27886","582280","608432","640062","53067"
"750244","50518","787331","650245","75444","212050"
"796812","293514","442105","528022","673453","754613"
"798559","62015","422044","564826","580978","733654"
"808981","63872","311124","515088","760599","802052"
"887792","91535","189754","253650","494433","613088"
"913549","49552","311584","402353","434097","645579"
"922621","314082","570753","601882","690757","742634"
"934348","83498","97476","189754","575603","631543"
"950010","55709","230710","307470","665134","667928"
"965667","189754","396125","494433","760035","768274"
"995697","370870","38266","212050","446592","515088"
"1005087","212050","441424","528704","626872","565735"
"1008875","293337","53692","782254","50570","75382"
"1023895","47061","53692","84057","255809","400325"
"1030587","150634","203658","311584","575615","609250"
"1094489","67841","660856","673453","816048","27886"
"1135786","205759","331946","498514","528022","582135"
"1139469","378523","771758","645579","682748","64769"
"1141485","80635","188347","286500","328723","342540"
"1178877","561022","606871","693675","702894","46386"
"1185852","27886","58211","641875","653596","728527"
"1211966","174592","771217","49552","52490","55709"
"1219810","27886","226121","255809","293514","528227"
"1221415","408794","759402","83498","193038","314235"
"1221888","49552","50570","75444","84057","118097"
"1256454","174592","304082","396125","431635","544506"
"1259411","118117","305809","350271","379143","445345"
"1271678","247805","286374","378523","670828","213371"
"1283321","290701","305809","306852","327285","798941"
"1305208","658049","771217","791690","191404","43980"
"1308801","505012","690757","693432","306852","319985"
"1312133","652888","700797","793845","64736","191404"
"1319480","758475","728145","97476","255809","55621"
"1325697","174592","771217","49552","50570","75444"
"1336633","189754","494433","55621","450767","582028"
"1337152","305200","42970","236632","378523","694850"
"1337537","50518","130390","379885","589194","593101"
"1347048","236632","538723","639480","640623","673453"
"1350388","62015","62801","253650","307470","379143"
"1352286","754020","56879","189754","305200","494433"
"1365084","29051","75382","307497","418098","742160"
"1406783","107195","38266","212050","515088","528227"
"1421901","171631","582382","699991","807269","252080"
"1448980","191404","198307","254104","606871","623734"
"1464510","56879","639480","640623","673453","43980"
"1468271","551606","631543","73208","83498","97476"
"1477191","84057","219276","226121","431206","441424"
"1486411","226121","253650","450767","703616","754613"
"1488099","42970","561297","64736","495862","498514"
"1500608","293337","304082","396125","544506","631543"
"1501819","693432","396125","494433","613088","713715"
"1502797","291637","308028","728713","357980","643845"
"1518360","67841","304189","601882","654931","56879"
"1539253","539579","667333","286374","515921","660856"
"1542832","67841","250751","582028","779225","184282"
"1552059","56879","184282","200461","253650","277011"
"1557267","75444","115795","306852","650245","528227"
"1573009","44391","306852","693432","754613","779297"
"1598424","682748","83814","118302","713715","503629"
"1602026","544506","570478","714243","740995","768274"
"1609042","27886","226121","384909","505012","582280"
"1609969","236632","277011","575603","29051","75382"
"1626796","575615","107972","189754","370870","601498"
"1640555","643845","73208","588020","590236","703616"
"1642815","584938","50515","171631","293337","304082"
"1647820","75444","240191","310722","467103","637742"
"1657165","760599","291752","708528","53067","290701"
"1661620","503629","571029","693675","29051","31080"
"1663866","379143","444935","652575","713557","715856"
"1670066","744158","27886","97476","503629","38266"
"1696020","107195","118117","350271","445345","665134"
"1738291","47061","84057","191404","553216","642190"
"1772563","670828","689623","807531","29051","240191"
"1793895","96048","746807","612698","647264","679838"
"1803801","83498","286500","588059","744158","83814"
"1831568","640623","75382","184282","307497","364728"
"1856394","650245","120872","418901","667305","772511"
"1882741","516482","528704","640623","670828","379885"
"1898757","49552","286374","311694","579851","582028"
"1899420","629670","623734","302426","565735","137026"
"1954555","627213","664697","43109","715799","450767"
"2008330","56879","162467","568446","793845","84057"
"2030990","505804","571029","561713","641875","205759"
"2047798","551606","771758","203658","418098","780873"
"2064560","627213","664697","771758","189754","205759"
"2105984","62801","214531","253650","498514","546221"
"2113812","364728","489832","96048","118097","198307"
"2131687","311694","46386","200461","628465","689623"
"2188439","746067","42970","53692","286374","505804"
"2191037","96048","284319","782254","728145","52490"
"2191136","528022","64736","265349","593483","627188"
"2197822","75444","306852","528227","650245","53067"
"2210060","623734","62801","168769","189754","290701"
"2293300","467103","732509","772511","693432","200461"
"2296088","345397","356424","768274","788351","307497"
"2296343","97476","222516","230710","294468","307470"
"2315881","702120","53671","63872","75444","588059"
"2324005","570478","693675","698672","740374","788351"
"2327267","189754","629670","75444","274688","319985"
"2341442","582028","588020","683431","721291","640062"
"2342196","294468","742634","780873","55621","189754"
"2354909","165833","489418","620056","642247","754613"
"2358043","716107","75444","212050","327285","418098"
"2369370","73208","328723","588020","612698","650245"
"2387332","402353","629670","73208","84057","441424"
"2395278","660856","673453","754613","816048","350271"
"2405157","189754","286374","660856","782254","73208"
"2411384","50515","53692","62015","165833","305809"
"2439449","200461","306852","639480","780873","64769"
"2450395","255202","286500","652660","729317","783348"
"2460218","64736","212050","291752","314235","629670"
"2460925","582135","174592","771217","445345","589194"
"2461413","669729","722997","64769","118117","305809"
"2493425","305809","328723","703616","751774","775655"
"2499364","84057","101618","327285","647264","236632"
"2510107","29051","75382","184282","418098","467103"
"2524784","199844","626872","663697","754020","780873"
"2526812","247805","286374","378523","306852","515921"
"2536879","44391","306852","582135","693432","253650"
"2547605","63872","253650","350271","676922","729395"
"2574458","306852","582028","593101","63872","83498"
"2597146","53067","189754","418098","418901","551606"
"2667507","663697","754020","55256","118302","221922"
"2674028","20168","55621","189754","307497","582030"
"2677887","107972","189754","284319","370870","601498"
"2686549","286374","601882","652660","780873","64769"
"2691000","663697","432233","582135","584938","620056"
"2694521","184282","293337","551495","582280","601882"
"2698418","67841","357980","97221","293514","442105"
"2699033","198307","254104","418098","582135","595990"
"2707013","328723","551495","551606","637742","751774"
"2709101","546221","406794","517092","620056","700901"
"2719162","744386","570753","46386","50523","165833"
"2724950","320689","327285","56879","96048","189754"
"2737248","590681","222516","402353","431635","517092"
"2740598","291752","516482","582028","652660","667305"
"2773540","744158","367491","44129","396125","437757"
"2778131","793845","255177","366438","367107","203658"
"2807294","236632","515088","555399","593101","595990"
"2809789","83498","342540","402353","600983","631543"
"2816647","52490","255177","593101","794322","62015"
"2819553","174592","740374","771217","49552","311584"
"2820580","728713","240191","364728","467103","600983"
"2826744","184282","254800","314235","626872","641875"
"2847616","255202","639981","642247","27886","29051"
"2856748","650232","728144","754613","772511","776288"
"2865695","118097","171631","582030","637742","664697"
"2868026","80635","277011","628465","771758","43980"
"2871270","431206","608432","665134","703616","744386"
"2871930","753720","222516","237017","277011","442105"
"2900177","357980","432233","584938","620056","686018"
"2912814","593101","222516","516482","742160","294468"
"2923773","450767","505804","714884","528022","55621"
"2924208","75444","740374","255177","515921","793845"
"2941133","73208","364728","638555","771217","43980"
"2944771","29051","516482","551495","700993","746067"
"2952948","50515","55709","626872","627213","665250"
"2957606","42970","593101","708528","779175","793845"
"2965087","306852","816048","213371","485237","613088"
"2969181","84057","759402","118097","189754","291752"
"2969256","328723","342540","575615","612698","650245"
"2976221","362458","444935","505804","582030","50515"
"2991842","83498","214531","367491","396125","418901"
"3000454","515921","647264","653596","735973","189754"
