"","Top1_Hotel","Top2_Hotel","Top3_Hotel","Top4_Hotel","Top5_Hotel"
"57920","445345","240191","546221","55709","276275"
"142145","73208","203658","253650","561713","200461"
"186729","290701","590236","807269","740995","262394"
"187580","80635","198307","584938","656268","379885"
"195580","514946","550783","589237","642190","693432"
"195859","255809","68873","293514","658049","789743"
"201541","193038","276275","731834","807531","342540"
"216385","291752","507598","729395","751774","379143"
"241336","755982","582030","714884","760599","805368"
"262799","271787","759060","514946","171054","189754"
"270282","169356","198307","379885","801544","584938"
"294984","700797","434097","75444","294468","364728"
"306166","255809","724346","328723","675886","582382"
"312863","494433","729395","212050","193038","478448"
"358394","255202","693432","715799","754613","56879"
"389681","189754","120872","478448","255202","293514"
"399461","590681","800095","271787","742634","307497"
"424325","118097","342540","623734","782254","785432"
"453818","179528","293337","708528","693432","702894"
"458267","612698","451719","791690","564826","793845"
"468497","182839","759060","69042","83498","203658"
"494281","564826","82482","255809","693432","284319"
"505271","528227","768737","434097","640062","205759"
"510307","291752","91535","729395","212050","75382"
"521338","361342","613088","396125","715799","776288"
"522491","27886","754613","715799","314235","290701"
"531200","284319","364728","53692","162467","294468"
"532034","55621","612698","49552","50518","308028"
"534213","619662","623734","286374","652575","250702"
"549167","588059","304189","240191","282269","432233"
"571678","771217","402353","582028","533623","42970"
"619612","68873","641875","809177","485237","652660"
"627962","350271","581869","162467","253650","438089"
"662664","591951","212050","253650","772511","396125"
"673543","83498","498514","418098","495862","663390"
"692831","760035","770281","546221","82482","308028"
"699671","289071","48076","681038","193038","563682"
"739084","222516","57978","284319","443698","623123"
"750244","606871","75382","162467","221922","236632"
"796812","255809","62015","67841","73208","152280"
"798559","283621","517996","658049","741398","744158"
"808981","237017","716107","642247","179528","771217"
"887792","29051","73208","118097","205759","367491"
"913549","327285","357980","56879","265349","681038"
"922621","780873","366438","546221","55703","184282"
"934348","783348","772511","503629","639981","200461"
"950010","770281","362458","444935","552145","311124"
"965667","713715","130390","289071","780873","69042"
"995697","627213","650245","744659","485237","442105"
"1005087","190943","693432","793845","744158","564826"
"1008875","168769","97221","364728","462341","489418"
"1023895","50515","97221","642247","255809","621108"
"1030587","236180","474452","555225","742160","722997"
"1094489","779225","28871","50523","213371","340994"
"1135786","84057","107195","174592","252080","357980"
"1139469","460469","283621","740995","379143","446592"
"1141485","533623","305809","703616","751774","445345"
"1178877","571029","396125","510836","434097","641875"
"1185852","189754","772511","478448","252080","494433"
"1211966","431635","658049","44391","200461","221943"
"1219810","575615","64769","219276","784644","450767"
"1221415","31080","444935","753720","91535","49552"
"1221888","253650","732509","754613","76668","581869"
"1256454","293337","505650","665134","741398","528704"
"1259411","328723","415619","641875","516482","656268"
"1271678","714520","400325","696113","620056","528022"
"1283321","589237","623652","584938","606871","754020"
"1305208","551606","582121","606871","656268","247805"
"1308801","83814","43980","115795","286500","708528"
"1312133","489832","705423","189754","107195","593483"
"1319480","291752","62015","212050","729395","361342"
"1325697","58211","118117","290701","647264","714520"
"1336633","772511","747847","715856","307497","340994"
"1337152","505650","515921","591951","744520","746807"
"1337537","446592","744659","55709","286374","515088"
"1347048","588059","190943","217692","715799","729395"
"1350388","327285","356424","200461","308028","788351"
"1352286","485237","67841","75382","759402","442105"
"1365084","516482","190943","445345","575615","623123"
"1406783","650245","612698","97476","64769","682748"
"1421901","171054","236632","188347","250702","608432"
"1448980","367491","582028","685990","700993","759060"
"1464510","236632","396125","608432","693432","700797"
"1468271","319985","714884","62015","130390","620056"
"1477191","378523","744659","276275","445345","801544"
"1486411","431206","807269","50570","55621","82482"
"1488099","91535","366438","544506","779297","64736"
"1500608","561713","815050","528594","758600","788351"
"1501819","297220","485237","744386","27886","130390"
"1502797","53671","418098","272597","714243","171054"
"1518360","49552","158466","277011","623652","627213"
"1539253","67841","591951","675886","667333","689623"
"1542832","118302","760035","754613","571029","53671"
"1552059","575615","307497","528594","538723","564826"
"1557267","612698","175989","222516","53692","451719"
"1573009","200461","620056","203658","289071","667928"
"1598424","327285","760599","623652","683431","58211"
"1602026","165833","444935","600983","631543","656268"
"1609042","222516","245927","608432","658049","665134"
"1609969","158466","80635","82748","256670","446999"
"1626796","606871","182839","715799","236632","284319"
"1640555","175989","715799","262394","437757","528022"
"1642815","581869","627188","664697","50570","480245"
"1647820","361342","650245","450767","584938","593483"
"1657165","221922","758475","83498","667928","55256"
"1661620","193038","340994","396125","437757","753720"
"1663866","356424","770281","784543","582135","445345"
"1670066","568446","798941","396125","350271","361342"
"1696020","667305","245927","758475","715799","46386"
"1738291","555225","640062","754613","758475","361342"
"1772563","613088","69042","505804","396125","590236"
"1793895","42970","290701","682748","620056","572208"
"1803801","256670","623734","693432","319985","350271"
"1831568","516482","29051","600983","623123","561713"
"1856394","619662","544506","715799","716107","645579"
"1882741","593101","794322","366438","760599","43980"
"1898757","55868","378523","528704","623652","485237"
"1899420","308028","785432","731834","52490","591951"
"1954555","730965","212050","350271","450767","431206"
"2008330","49552","302426","735973","796683","627213"
"2030990","362458","645568","793499","311124","252080"
"2047798","639480","356424","582135","669729","740374"
"2064560","460469","498514","44391","364728","528704"
"2105984","286500","327285","788351","768274","63872"
"2113812","700797","640623","665134","286500","294468"
"2131687","345397","286374","319985","328723","714243"
"2188439","744520","656268","200461","667333","91535"
"2191037","666142","801544","47061","219276","345397"
"2191136","450767","544506","669729","612698","64769"
"2197822","612698","253650","64769","101618","733654"
"2210060","58211","293337","553216","751774","152280"
"2293300","623123","307497","652575","46386","64736"
"2296088","311694","467103","118117","568005","721291"
"2296343","27886","543932","601498","200461","50515"
"2315881","589237","807269","613088","768274","789630"
"2324005","582135","219276","561022","639480","676922"
"2327267","252080","27886","226121","343094","367107"
"2341442","331946","46386","97476","784644","255809"
"2342196","601882","494433","686018","286374","517092"
"2354909","620056","84057","118097","363678","581869"
"2358043","311124","356424","673453","27886","53692"
"2369370","528227","760599","575615","434097","516482"
"2387332","729395","760035","304189","588059","91535"
"2395278","779225","656268","796683","165833","137026"
"2405157","97221","561713","539579","28871","221922"
"2411384","593101","794322","366438","415619","760599"
"2439449","553514","402353","626872","640623","422044"
"2450395","83498","514946","226121","171631","203658"
"2460218","276275","564826","481664","240191","570753"
"2460925","422044","431635","776288","784277","450767"
"2461413","735973","84057","306852","408794","654931"
"2493425","290701","84057","200461","670745","309436"
"2499364","552145","253650","595990","200461","277011"
"2510107","307497","516482","744574","328723","250702"
"2524784","64769","503629","669729","515088","552145"
"2526812","563682","621108","533623","652575","437757"
"2536879","200461","632434","744520","314235","63872"
"2547605","84057","716107","805368","517092","379885"
"2574458","444935","510836","189754","362458","396125"
"2597146","582030","584938","595990","708528","772511"
"2667507","571029","693675","83498","107972","367107"
"2674028","379143","772511","572208","700993","107195"
"2677887","758475","791690","304189","343094","450767"
"2686549","563682","742634","48076","600983","148132"
"2691000","503629","754020","301220","485237","551606"
"2694521","222516","294468","44129","784543","236632"
"2698418","255809","742160","53692","188347","629670"
"2699033","50570","561022","771758","84057","165833"
"2707013","658049","758600","84057","306852","579851"
"2709101","320689","200461","669729","690757","780873"
"2719162","734886","656268","364728","683431","722997"
"2724950","443698","730965","108890","609202","638555"
"2737248","367107","55709","564826","236632","613088"
"2740598","400325","665134","642247","675886","50523"
"2773540","568446","29051","620056","171631","294468"
"2778131","740995","43109","262394","277011","379143"
"2807294","55709","2818","255202","647264","101618"
"2809789","174592","247805","379143","431635","640623"
"2816647","609202","255809","517996","564826","291637"
"2819553","52490","451719","593101","815872","716107"
"2820580","434097","137026","571029","700797","58211"
"2826744","64769","199844","665134","791690","150634"
"2847616","805368","675673","768737","434097","503629"
