"","Top1_Hotel","Top2_Hotel","Top3_Hotel","Top4_Hotel","Top5_Hotel"
"57920","445345","240191","546221","55709","205759"
"142145","73208","590236","203658","253650","561713"
"186729","290701","590236","73208","561713","302426"
"187580","80635","198307","584938","169356","47061"
"195580","236632","514946","550783","589237","642190"
"195859","255809","724346","68873","293514","658049"
"201541","193038","276275","731834","807531","788351"
"216385","291752","507598","379143","581869","632434"
"241336","755982","582030","714884","760599","782254"
"262799","271787","759060","189754","638555","282269"
"270282","169356","198307","379885","801544","584938"
"294984","700797","434097","75444","294468","364728"
"306166","255809","724346","328723","68873","582382"
"312863","494433","729395","193038","478448","609250"
"358394","255202","693432","715799","754613","619662"
"389681","120872","478448","255202","293514","442105"
"399461","590681","800095","271787","742634","784277"
"424325","118097","342540","623734","782254","785432"
"453818","179528","293337","553216","751774","58211"
"458267","451719","791690","612698","517996","107195"
"468497","182839","69042","83498","203658","362458"
"494281","564826","284319","311124","575603","53692"
"505271","528227","768737","350271","568446","772511"
"510307","291752","91535","75382","447151","665134"
"521338","361342","613088","715799","776288","367107"
"522491","27886","754613","252080","640062","290701"
"531200","284319","364728","162467","342540","568446"
"532034","55621","49552","50518","308028","361342"
"534213","619662","623734","250702","418098","693432"
"549167","588059","816048","282269","432233","304189"
"571678","771217","402353","245927","328723","572208"
"619612","68873","641875","809177","277011","705509"
"627962","350271","62015","162467","253650","438089"
"662664","591951","212050","253650","730965","55703"
"673543","83498","498514","396125","56879","418098"
"692831","760035","770281","546221","356424","82482"
"699671","289071","200461","48076","681038","431635"
"739084","222516","57978","667305","658049","443698"
"750244","97221","75382","162467","221922","236632"
"796812","255809","62015","67841","73208","152280"
"798559","283621","517996","658049","741398","744158"
"808981","237017","716107","179528","782254","311124"
"887792","29051","73208","118097","205759","367491"
"913549","327285","357980","56879","265349","681038"
"922621","780873","366438","64736","363678","55703"
"934348","783348","503629","639981","222516","653459"
"950010","770281","362458","444935","552145","182839"
"965667","713715","130390","289071","780873","200461"
"995697","627213","650245","744659","38266","63872"
"1005087","190943","693432","793845","445345","250702"
"1008875","168769","97221","364728","462341","489418"
"1023895","50515","97221","642247","690757","31080"
"1030587","236180","474452","555225","55621","656268"
"1094489","779225","28871","50523","213371","340994"
"1135786","84057","107195","174592","252080","357980"
"1139469","460469","283621","379143","446592","474452"
"1141485","533623","305809","703616","751774","311694"
"1178877","571029","510836","489832","56879","75382"
"1185852","189754","683431","410998","252080","494433"
"1211966","431635","44391","200461","221943","320689"
"1219810","575615","64769","219276","784644","612698"
"1221415","31080","444935","753720","49552","214531"
"1221888","253650","732509","754613","76668","581869"
"1256454","293337","505650","665134","528704","582135"
"1259411","328723","415619","641875","528227","575615"
"1271678","714520","400325","696113","528022","666142"
"1283321","589237","623652","768274","584938","606871"
"1305208","551606","582121","606871","552145","734886"
"1308801","83814","43980","115795","286500","708528"
"1312133","489832","705423","107195","593483","673453"
"1319480","291752","62015","589237","361342","606871"
"1325697","58211","118117","290701","647264","714520"
"1336633","772511","747847","307497","340994","514946"
"1337152","505650","515921","591951","744520","746807"
"1337537","446592","744659","627213","55709","286374"
"1347048","190943","217692","715799","729395","613088"
"1350388","327285","356424","758600","82748","314235"
"1352286","485237","67841","75382","205759","564826"
"1365084","516482","190943","445345","307497","309436"
"1406783","650245","64769","682748","787331","44129"
"1421901","171054","188347","250702","608432","673453"
"1448980","367491","582028","685990","700993","714243"
"1464510","236632","396125","608432","50523","510836"
"1468271","319985","714884","62015","130390","620056"
"1477191","378523","744659","152280","650245","390894"
"1486411","431206","807269","55621","82482","262394"
"1488099","91535","366438","544506","779297","97476"
"1500608","561713","815050","758600","356424","590236"
"1501819","297220","485237","27886","130390","673453"
"1502797","53671","418098","700993","171054","277011"
"1518360","49552","158466","277011","640623","213371"
"1539253","67841","591951","675886","689623","702120"
"1542832","118302","760035","53671","396125","665250"
"1552059","575615","528594","538723","564826","613088"
"1557267","612698","742160","53692","451719","483779"
"1573009","200461","620056","203658","289071","667928"
"1598424","327285","760599","58211","489418","741043"
"1602026","165833","444935","600983","631543","656268"
"1609042","222516","245927","608432","658049","665134"
"1609969","158466","82748","256670","446999","516482"
"1626796","606871","182839","715799","789630","284319"
"1640555","175989","262394","437757","561297","528022"
"1642815","581869","627188","728713","50570","480245"
"1647820","361342","450767","584938","593483","640062"
"1657165","221922","758475","97221","55256","639480"
"1661620","193038","340994","396125","437757","753720"
