"","Top1_Hotel","Top2_Hotel","Top3_Hotel","Top4_Hotel","Top5_Hotel"
"57920","284319","632434","189754","621108","311694"
"142145","528227","305809","624485","631543","805368"
"186729","698672","543932","732509","650245","64736"
"187580","742160","237017","570753","307497","783348"
"195580","276275","742160","247805","683431","568446"
"195859","564826","637742","706170","690757","640623"
"201541","286374","809177","564826","665134","168769"
"216385","734886","460469","553514","387644","366438"
"241336","742160","367107","485237","237017","621108"
"262799","505012","286500","683431","608432","702894"
"270282","69042","276275","460469","291752","702894"
"294984","460469","445345","254104","43980","783348"
"306166","637742","601882","595990","742634","64736"
"312863","96048","255809","291752","390894","205759"
"358394","38266","667333","460469","807269","621108"
"389681","564826","637742","69042","771343","702894"
"399461","619662","683431","310722","291752","390894"
"424325","68873","410998","254104","286500","612698"
"453818","552145","624485","699991","746807","489832"
"458267","175989","714520","742634","226121","255202"
"468497","637742","730965","624485","742634","193038"
"494281","528227","706170","705423","570753","137026"
"505271","564826","706170","690757","378523","793499"
"510307","485237","255809","212050","713715","624485"
"521338","742160","552145","247805","621108","286500"
"522491","768737","38266","698672","311694","570753"
"531200","38266","590236","255809","356424","683431"
"532034","702894","171054","38266","639480","770281"
"534213","809177","568446","286500","683431","543932"
"549167","237017","445345","568446","730965","467103"
"571678","742160","637742","609202","286500","175989"
"619612","408794","742160","286374","254104","612698"
"627962","656268","533623","387644","563682","742634"
"662664","778820","517092","807269","699991","387644"
"673543","609202","716107","742160","619662","623734"
"692831","485237","640623","702894","613088","390894"
"699671","528227","38266","410998","137026","378523"
"739084","552145","568446","656268","642247","783348"
"750244","38266","528227","589237","44391","378523"
"796812","637742","460469","284319","387644","43980"
"798559","656268","637742","609202","189754","212050"
"808981","485237","609202","706170","80635","699991"
"887792","699991","361342","528022","805368","637742"
"913549","724346","55621","189754","237017","589194"
"922621","350271","768274","705423","683431","171054"
"934348","68873","276275","171054","619662","564826"
"950010","68873","706170","734886","564826","771758"
"965667","350271","310722","237017","665134","253650"
"995697","284319","175989","91535","255809","568446"
"1005087","742160","700797","621108","68873","553514"
"1008875","768737","38266","460469","706170","589237"
"1023895","193038","568446","699991","561022","331946"
"1030587","771343","387644","43980","595990","746807"
"1094489","485237","237017","665134","561022","742634"
"1135786","221922","809177","460469","589194","568446"
"1139469","589237","91535","608432","794322","667333"
"1141485","38266","589237","568446","68873","387644"
"1178877","552145","286500","624485","568446","732509"
"1185852","68873","730965","705423","568446","69042"
"1211966","656268","735973","771758","568446","193038"
"1219810","327285","400325","277011","237017","568446"
"1221415","742160","690757","713715","624485","237017"
"1221888","533623","80635","621108","310722","387644"
"1256454","724346","410998","713715","400325","624485"
"1259411","768737","68873","555225","495862","742634"
"1271678","568446","729317","327285","533623","31080"
"1283321","807269","255809","555225","137026","601882"
"1305208","589237","69042","528022","570753","601882"
"1308801","38266","771343","713715","744574","55709"
"1312133","561022","742634","563682","713715","729317"
"1319480","724346","400325","568446","624485","601882"
"1325697","367107","778820","595990","489832","732509"
"1336633","564826","485237","778820","314235","683431"
"1337152","284319","564826","624485","467103","43980"
"1337537","255809","445345","460469","311694","342540"
"1347048","247805","690757","361342","619662","253650"
"1350388","730965","255809","350271","624485","221922"
"1352286","171054","572208","770281","713715","107195"
"1365084","609202","460469","705423","624485","387644"
"1406783","564826","305809","460469","667305","222516"
"1421901","533623","690757","621108","310722","805368"
"1448980","505012","485237","175989","782254","783348"
"1464510","460469","410998","612698","387644","555225"
"1468271","38266","637742","706170","652575","771343"
"1477191","564826","276275","291752","702894","514946"
"1486411","408794","552145","327285","460469","665134"
"1488099","198307","621108","601882","601498","379143"
"1500608","564826","198307","483779","565735","771758"
"1501819","247805","568446","698672","683431","570753"
"1502797","408794","367107","276275","552145","327285"
"1518360","485237","609202","290701","445345","517092"
"1539253","367107","714520","713715","770281","553514"
"1542832","528227","771217","589194","327285","387644"
"1552059","742160","137026","68873","601882","193038"
"1557267","68873","387644","543932","38266","601882"
"1573009","68873","410998","652575","221922","570753"
"1598424","807269","570753","742634","237017","489832"
"1602026","286500","621108","390894","655216","660856"
"1609042","609202","400325","311694","214531","601498"
"1609969","652575","729395","255809","387644","43980"
"1626796","632434","621108","253650","489832","728144"
"1640555","460469","237017","553514","43980","729317"
"1642815","706170","705423","568446","467103","27886"
"1647820","706170","552145","771758","589194","589237"
"1657165","69042","410998","311694","64736","390894"
"1661620","68873","460469","237017","543932","253650"
"1663866","724346","505012","771758","568446","69042"
"1670066","552145","770281","460469","561022","291752"
"1696020","533623","589194","390894","761411","807269"
"1738291","564826","485237","533623","698672","310722"
"1772563","80635","460469","608432","255202","42970"
"1793895","608432","387644","379143","483779","390894"
"1803801","533623","68873","277011","311694","255177"
"1831568","632434","690757","361342","794927","390894"
"1856394","528227","485237","286500","714520","247805"
"1882741","68873","706170","589194","601882","746807"
"1898757","221922","276275","589194","327285","621108"
"1899420","96048","570753","793499","760035","564826"
"1954555","460469","706170","714520","255809","516482"
"2008330","656268","734886","716107","445345","212050"
"2030990","589194","247805","621108","489832","387644"
"2047798","807269","342540","746807","601882","783348"
"2064560","38266","175989","652575","284319","168769"
"2105984","705423","652575","771343","361342","601882"
"2113812","38266","734886","171054","445345","652575"
"2131687","485237","175989","778820","533623","655216"
"2188439","290701","193038","350271","683431","702894"
"2191037","387644","342540","307497","621108","619662"
"2191136","706170","175989","107195","705423","601882"
"2197822","38266","734886","713715","807269","214531"
"2210060","533623","237017","652575","568446","624485"
"2293300","38266","533623","291752","685990","137026"
"2296088","706170","705423","568446","255177","311584"
"2296343","742160","570753","361342","254104","637742"
"2315881","286500","237017","198307","683431","226121"
"2324005","724346","69042","533623","705423","286500"
"2327267","619662","705423","621108","553514","702894"
"2341442","706170","552145","212050","624485","742634"
"2342196","171054","247805","80635","310722","291752"
"2354909","714520","589237","568446","702894","601882"
"2358043","564826","410998","107195","565735","533623"
"2369370","768737","410998","517092","652575","568446"
"2387332","768737","171054","212050","652575","390894"
"2395278","778820","601882","613088","667305","483779"
"2405157","408794","410998","533623","658049","640623"
"2411384","533623","632434","212050","690757","621108"
"2439449","609202","713715","400325","621108","361342"
"2450395","171054","768274","621108","683431","619662"
"2460218","367107","700797","342540","390894","613110"
"2460925","38266","552145","590236","665134","489832"
"2461413","768737","38266","706170","533623","237017"
"2493425","807269","68873","310722","564826","43980"
"2499364","730965","589237","568446","570753","613088"
"2510107","705423","632434","80635","198307","619662"
"2524784","705423","623734","168769","291752","387644"
"2526812","68873","714520","742160","568446","495862"
"2536879","552145","623734","568446","221922","387644"
"2547605","705423","589194","568446","286500","489832"
"2574458","742160","286374","706170","555225","700797"
"2597146","247805","400325","570753","198307","783348"
"2667507","667333","698672","311694","601882","291752"
"2674028","742160","460469","771217","168769","619662"
"2677887","656268","286374","706170","410998","356424"
"2686549","637742","609202","734886","237017","632434"
"2691000","568446","768737","788351","783348","390894"
"2694521","198307","64736","601498","507598","361342"
"2698418","637742","485237","533623","714520","327285"
"2699033","460469","445345","742160","69042","310722"
"2707013","564826","69042","690757","255202","713715"
"2709101","778820","221922","387644","214531","307497"
"2719162","237017","700797","189754","683431","69042"
"2724950","706170","198307","608432","809177","621108"
"2737248","637742","193038","621108","342540","367491"
"2740598","589194","342540","713715","732509","621108"
"2773540","564826","367107","624485","495862","357980"
"2778131","768737","589237","460469","729317","563682"
"2807294","171054","621108","137026","221922","214531"
"2809789","221922","68873","503629","609202","175989"
"2816647","552145","716107","570753","612698","563682"
"2819553","237017","612698","563682","570753","742634"
"2820580","699991","553514","601882","255202","489832"
"2826744","528227","624485","255202","724346","572208"
"2847616","460469","564826","624485","613088","107972"
"2856748","171054","619662","489832","742634","746807"
"2865695","619662","553514","495862","307497","772511"
"2868026","528227","69042","564826","698672","331946"
"2871270","533623","734886","713715","570753","378523"
"2871930","637742","175989","702894","571029","590236"
"2900177","276275","564826","410998","237017","342540"
"2912814","410998","171054","175989","640623","778820"
"2923773","408794","706170","705423","734886","778820"
"2924208","656268","237017","713715","570753","571029"
"2941133","460469","705423","175989","667333","690757"
"2944771","564826","69042","212050","805368","193038"
"2952948","516482","768274","568446","729395","387644"
"2957606","367107","175989","568446","342540","390894"
"2965087","503629","589194","568446","68873","543932"
"2969181","222516","778820","714520","770281","624485"
"2969256","609202","772511","667333","568446","624485"
"2976221","667333","467103","543932","38266","528022"
"2991842","528227","410998","168769","387644","361342"
"3000454","505012","705423","778820","137026","361342"
"3026717","276275","314235","277011","237017","742634"
"3042726","408794","305809","514946","780873","171054"
"3043156","528227","589237","69042","107972","563682"
"3061513","505012","255809","168769","495862","582382"
"3071046","667305","494433","564826","694850","58211"
"3080120","38266","387644","555225","311694","107972"
"3085202","656268","778820","565735","50570","182839"
"3093794","528227","564826","807269","683431","489832"
"3122261","38266","706170","705423","69042","489832"
"3133489","528227","706170","80635","683431","771343"
"3146037","408794","724346","716107","568446","624485"
"3146203","38266","69042","410998","255809","543932"
"3181427","713715","771758","214531","629670","182839"
"3192554","460469","734886","568446","698672","807269"
"3204169","533623","175989","698672","570753","702894"
"3217422","96048","778820","327285","665134","619662"
"3224082","171054","624485","683431","699991","685990"
"3241444","621108","624485","553514","387644","485237"
"3241922","768737","38266","503629","237017","729395"
"3260074","656268","276275","410998","564826","415619"
"3260805","460469","589194","690757","568446","742634"
"3278419","705423","561022","685990","255202","563682"
"3279032","255809","724346","68873","310722","621108"
"3281295","742160","38266","410998","107195","350271"
"3287406","68873","38266","652575","489832","570753"
"3308880","408794","212050","612698","193038","297220"
"3314075","771217","590236","589237","168769","543932"
"3315379","68873","772511","237017","667333","683431"
"3327797","706170","734886","608432","619662","565735"
"3341071","705423","652575","387644","702894","543932"
"3356377","350271","705423","400325","683431","168769"
"3375808","460469","410998","552145","247805","286500"
"3386366","193038","619662","460469","699991","214531"
"3399045","286374","91535","237017","543932","778820"
"3441513","68873","706170","729317","505012","342540"
"3466926","713715","730965","310722","390894","794322"
"3477524","564826","327285","366438","528594","655216"
"3478967","637742","589237","247805","460469","621108"
"3492012","107972","327285","794927","390894","734886"
