"","Top1_Hotel","Top2_Hotel","Top3_Hotel","Top4_Hotel","Top5_Hotel"
"57920","570753","791690","226121","236180","101618"
"142145","434097","137026","58211","590236","744158"
"186729","699991","503629","579851","73208","561713"
"187580","286374","571029","642247","510836","277011"
"195580","460469","189754","44391","364728","378523"
"195859","809177","621108","120872","478448","62801"
"201541","665134","667928","741398","441424","517092"
"216385","212050","658049","768737","584938","107195"
"241336","83498","498514","96048","584938","595990"
"262799","390894","478448","345397","434097","528227"
"270282","489832","446999","152280","370870","384909"
"294984","729395","581869","627188","640623","306852"
"306166","637742","205759","800095","551495","467103"
"312863","584938","582135","788351","306852","515921"
"358394","50570","83498","431206","700901","784277"
"389681","621108","38266","255809","62801","588059"
"399461",NA,NA,NA,NA,NA
"424325","378523","650245","783348","48076","75444"
"453818","69042","652575","182839","609250","715799"
"458267","320689","203658","283170","669729","690757"
"468497","528022","729317","193038","753720","342540"
"494281","543932","286500","505650","794322","214531"
"505271","563682","658049","533623","652575","291637"
"510307","400325","572208","205759","396125","498514"
"521338","431635","589237","367107","784277","422044"
"522491","255809","724346","97476","442105","650245"
"531200","168769","606871","83814","653459","130390"
"532034",NA,NA,NA,NA,NA
"534213",NA,NA,NA,NA,NA
"549167","460469","627213","356424","438089","715856"
"571678","553514","314235","640062","640623","626872"
"619612","64769","199844","364728","308028","665134"
"627962","612698","809177","272597","650245","798941"
"662664","158466","213371","222516","606871","640623"
"673543","367107","396125","755982","514946","141708"
"692831","327285","584938","670745","46386","169356"
"699671","327285","357980","56879","265349","62801"
"739084","294468","205759","328723","800095","44129"
"750244","327285","546221","320689","582382","601498"
"796812","308028","785432","52490","591951","706170"
"798559","637742","609202","460469","205759","328723"
"808981","667333","771343","779175","319985","311124"
"887792","514946","485237","564826","236632","302426"
"913549","730965","665134","193038","289071","236632"
"922621","650245","682748","787331","44129","699991"
"934348","543932","575603","286500","505650","794322"
"950010","342540","55703","83498","539579","758600"
"965667","284319","189754","683431","297220","364728"
"995697","588059","626872","546221","282269","314082"
"1005087","593101","713715","331946","293514","667333"
"1008875","284319","713715","162467","290701","666142"
"1023895","53692","286500","744574","200461","620056"
"1030587",NA,NA,NA,NA,NA
"1094489","637742","705423","290701","205759","328723"
"1135786","444935","247805","314235","379143","431635"
"1139469","800095","517996","658049","741398","744158"
"1141485","637742","698672","807269","205759","328723"
"1178877","80635","198307","307497","46386","64736"
"1185852","286500","683431","782254","563682","621108"
"1211966","84057","670745","309436","693432","729395"
"1219810","53692","286500","50515","304189","343094"
"1221415","50515","130390","582135","667928","760035"
"1221888","552145","665134","642190","667305","627188"
"1256454","400325","58211","732509","642247","667928"
"1259411","735973","378523","642247","667305","237017"
"1271678","485237","75382","445345","570753","791690"
"1283321","221922","613110","676922","286500","327285"
"1305208","516482","794322","291752","507598","422044"
"1308801","38266","713715","162467","254800","306852"
"1312133","796683","533623","593101","771758","367107"
"1319480","640623","667333","91535","666142","801544"
"1325697","590236","262394","345397","802052","171054"
"1336633","286500","623652","44391","52490","552145"
"1337152","43980","595990","584938","236632","478448"
"1337537","311124","379885","418098","422044","434097"
"1347048","286374","236632","247805","606871","27886"
"1350388",NA,NA,NA,NA,NA
"1352286","714520","387644","555225","696113","581869"
"1365084","505012","42970","158466","290701","682748"
"1406783","38266","780873","56879","744158","366438"
"1421901","29051","44129","118117","293514","437757"
"1448980","255177","734886","200461","619662","624485"
"1464510","247805","771343","319985","297220","693432"
"1468271",NA,NA,NA,NA,NA
"1477191","589237","623652","254104","533623","584938"
"1486411","361342","189754","744520","311584","450767"
"1488099","68873","277011","310722","314235","640062"
"1500608","581869","627188","327285","522471","760599"
"1501819","642247","713715","771758","277011","289071"
"1502797","189754","700797","642190","667305","311584"
"1518360","552145","171631","771758","730965","253650"
"1539253","252080","340994","293514","667333","555399"
"1542832","572208","205759","498514","637742","80635"
"1552059",NA,NA,NA,NA,NA
"1557267","286500","744574","791690","80635","304189"
"1573009","761411","50515","97221","642247","141708"
