"","Top1_Hotel","Top2_Hotel","Top3_Hotel","Top4_Hotel","Top5_Hotel"
"57920","284319","735973","516482","361342","189754"
"142145","255809","624485","568446","732509","754613"
"186729","724346","778820","175989","193038","698672"
"187580","742160","237017","495862","642247","665134"
"195580","460469","517092","314235","619662","214531"
"195859","564826","637742","286374","690757","640623"
"201541","286374","69042","564826","713715","665134"
"216385","286374","734886","212050","652575","226121"
"241336","742160","367107","735973","619662","621108"
"262799","485237","706170","286500","658049","460469"
"270282","460469","410998","713715","291752","255809"
"294984","445345","667333","729395","543932","730965"
"306166","637742","533623","212050","698672","631543"
"312863","503629","589194","593101","543932","390894"
"358394","38266","55621","247805","460469","619662"
"389681","564826","771217","503629","247805","640623"
"399461","637742","286374","69042","485237","516482"
"424325","460469","778820","619662","612698","107972"
"453818","237017","742160","593101","667333","699991"
"458267","528227","564826","517092","702894","495862"
"468497","637742","772511","237017","624485","601882"
"494281","276275","706170","570753","205759","485237"
"505271","730965","543932","311584","193038","2818"
"510307","485237","255809","212050","705423","624485"
"521338","742160","247805","621108","685990","331946"
"522491","284319","533623","212050","698672","314235"
"531200","564826","460469","255809","445345","683431"
"532034","38266","772511","503629","445345","613088"
"534213","552145","568446","286500","327285","189754"
"549167","237017","445345","568446","553514","38266"
"571678","742160","637742","286500","305809","175989"
"619612","742160","80635","198307","667333","277011"
"627962","706170","533623","387644","311694","591951"
"662664","612698","552145","778820","570753","619662"
"673543","408794","367107","609202","286500","619662"
"692831","286500","331946","390894","729395","431206"
"699671","221922","410998","570753","685990","137026"
"739084","552145","690757","568446","68873","561022"
"750244","38266","485237","193038","690757","568446"
"796812","637742","69042","734886","714520","608432"
"798559","656268","637742","609202","730965","212050"
"808981","485237","80635","198307","699991","771343"
"887792","410998","107195","713715","637742","297220"
"913549","55621","189754","589194","286500","221922"
"922621","410998","667333","768274","713715","64736"
"934348","276275","564826","631543","137026","107972"
"950010","564826","706170","771758","742634","378523"
"965667","724346","778820","445345","68873","277011"
"995697","38266","284319","568446","771343","221922"
"1005087","516482","700797","705423","568446","553514"
"1008875","408794","96048","460469","706170","698672"
"1023895","564826","193038","690757","665134","168769"
"1030587","387644","612698","606871","68873","189754"
"1094489","485237","214531","253650","805368","327285"
"1135786","460469","589194","212050","772511","568446"
"1139469","771758","91535","568446","601882","431206"
"1141485","735973","589237","327285","568446","387644"
"1178877","552145","198307","698672","807269","291752"
"1185852","68873","286500","305809","517092","705423"
"1211966","656268","771758","445345","327285","528594"
"1219810","327285","400325","168769","277011","387644"
"1221415","690757","624485","699991","608432","702894"
"1221888","724346","612698","552145","729395","568446"
"1256454","724346","38266","410998","247805","400325"
"1259411","768737","68873","55621","637742","735973"
"1271678","809177","485237","193038","658049","665134"
"1283321","286374","255809","198307","601882","642247"
"1305208","503629","516482","589237","713715","69042"
"1308801","221922","38266","771343","595990","746807"
"1312133","561022","331946","563682","665134","742634"
"1319480","410998","568446","69042","237017","331946"
"1325697","809177","367107","590236","778820","445345"
"1336633","564826","485237","314235","621108","793499"
"1337152","367107","276275","564826","255809","624485"
"1337537","96048","69042","445345","91535","460469"
"1347048","632434","247805","621108","631543","619662"
"1350388","68873","503629","609202","730965","350271"
"1352286","237017","716107","685990","555225","571029"
"1365084","55621","705423","460469","771217","624485"
"1406783","38266","222516","305809","568446","460469"
"1421901","552145","690757","807269","601882","665134"
"1448980","505012","91535","713715","69042","277011"
"1464510","410998","80635","771217","387644","555225"
"1468271","771343","237017","755982","345397","44391"
"1477191","460469","589237","327285","291752","702894"
"1486411","408794","327285","361342","460469","665134"
"1488099","237017","716107","80635","198307","277011"
"1500608","222516","564826","189754","631543","637742"
"1501819","247805","713715","570753","637742","42970"
"1502797","55621","367107","276275","290701","286500"
"1518360","485237","290701","552145","445345","517092"
"1539253","714520","356424","713715","770281","568446"
"1542832","528227","408794","809177","771217","589194"
"1552059","742160","38266","55621","276275","609202"
"1557267","68873","327285","742160","387644","601882"
"1573009","505012","665134","631543","619662","713715"
"1598424","284319","706170","730965","286500","807269"
"1602026","460469","706170","286500","589194","621108"
"1609042","247805","400325","137026","528594","770281"
"1609969","255809","517092","652575","387644","43980"
"1626796","724346","742160","505012","286374","247805"
"1640555","609202","290701","305809","714520","658049"
"1642815","68873","771217","621108","387644","601882"
"1647820","589194","589237","80635","198307","770281"
"1657165","410998","552145","658049","226121","503629"
"1661620","809177","778820","175989","91535","237017"
"1663866","724346","589194","632434","568446","311694"
"1670066","91535","770281","460469","561022","291752"
"1696020","221922","609202","533623","589194","445345"
"1738291","564826","286374","361342","699991","387644"
"1772563","96048","255809","80635","198307","624485"
"1793895","221922","612698","367107","658049","387644"
"1803801","656268","533623","735973","589194","236632"
"1831568","528227","410998","632434","690757","390894"
"1856394","528227","768737","742160","714520","247805"
"1882741","589194","713715","342540","601882","780873"
"1898757","609202","290701","589237","601882","650245"
"1899420","69042","96048","286374","445345","589237"
"1954555","460469","533623","632434","516482","705423"
"2008330","656268","734886","237017","716107","212050"
"2030990","286500","771758","589194","247805","621108"
"2047798","221922","222516","327285","698672","807269"
"2064560","609202","589194","284319","168769","43980"
"2105984","533623","705423","623734","652575","667333"
"2113812","593101","652575","713715","564826","563682"
"2131687","637742","485237","175989","771343","724346"
"2188439","276275","564826","350271","683431","702894"
"2191037","590236","771343","400325","387644","342540"
"2191136","175989","107195","361342","277011","619662"
"2197822","221922","255809","768274","568446","732509"
"2210060","724346","637742","533623","237017","652575"
"2293300","637742","533623","685990","619662","782254"
"2296088","705423","517092","286500","683431","568446"
"2296343","742160","247805","702894","613088","361342"
"2315881","286500","237017","80635","198307","683431"
"2324005","69042","400325","665134","342540","601882"
"2327267","772511","410998","619662","568446","705423"
"2341442","706170","212050","568446","624485","613088"
"2342196","612698","171054","589237","517092","68873"
"2354909","637742","706170","212050","460469","702894"
"2358043","564826","69042","771758","589194","107195"
"2369370","768737","410998","735973","517092","652575"
"2387332","768737","637742","276275","564826","613088"
"2395278","55621","589194","314235","601882","255809"
"2405157","408794","771217","608432","43980","595990"
"2411384","637742","533623","212050","698672","621108"
"2439449","175989","713715","700797","254104","400325"
"2450395","38266","222516","175989","619662","768274"
"2460218","367107","700797","768274","342540","193038"
"2460925","38266","367107","460469","705423","561022"
"2461413","38266","55621","706170","533623","237017"
"2493425","533623","552145","212050","247805","356424"
"2499364","589237","80635","623734","568446","310722"
"2510107","91535","350271","729395","253650","754613"
"2524784","96048","705423","168769","387644","137026"
"2526812","68873","38266","714520","69042","356424"
"2536879","38266","552145","623734","807269","568446"
"2547605","505012","286500","705423","237017","589194"
"2574458","221922","742160","612698","460469","589194"
"2597146","69042","80635","198307","528022","783348"
"2667507","698672","311694","226121","291752","297220"
"2674028","742160","189754","667333","460469","771217"
"2677887","724346","286374","410998","356424","361342"
"2686549","637742","96048","632434","698672","807269"
"2691000","771217","68873","107195","699991","221922"
"2694521","410998","770281","700797","64736","366438"
"2698418","637742","485237","327285","690757","702894"
"2699033","706170","742160","807269","69042","277011"
"2707013","656268","637742","690757","286500","729395"
"2709101","175989","517092","640623","307497","282269"
"2719162","706170","533623","255809","80635","713715"
"2724950","656268","809177","445345","690757","357980"
"2737248","637742","276275","193038","516482","621108"
"2740598","410998","193038","714520","624485","291752"
"2773540","367107","91535","489832","495862","528594"
"2778131","768737","175989","91535","460469","68873"
"2807294","730965","410998","171054","221922","137026"
"2809789","609202","175989","236632","593101","713715"
"2816647","460469","410998","570753","612698","276275"
"2819553","237017","713715","624485","729395","612698"
"2820580","361342","571029","255202","724346","793499"
"2826744","528227","400325","624485","310722","601882"
"2847616","516482","624485","331946","42970","494433"
"2856748","286374","445345","619662","568446","400325"
"2865695","517092","702894","331946","601882","621108"
"2868026","221922","758475","80635","650232","581869"
"2871270","69042","410998","533623","590236","734886"
"2871930","564826","290701","590236","175989","713715"
"2900177","503629","533623","342540","601882","595990"
"2912814","410998","171054","175989","640623","467103"
"2923773","408794","809177","734886","778820","690757"
"2924208","361342","570753","642247","378523","650245"
"2941133","460469","175989","667333","305809","621108"
"2944771","564826","212050","255177","182839","189754"
"2952948","528227","564826","714520","516482","768274"
"2957606","724346","367107","255809","247805","80635"
"2965087","503629","589237","568446","68873","277011"
"2969181","564826","533623","770281","568446","624485"
"2969256","350271","667333","624485","55621","390894"
"2976221","284319","667333","237017","286500","467103"
"2991842","564826","410998","778820","198307","503629"
"3000454","778820","327285","311694","702894","629670"
"3026717","724346","367107","327285","690757","314235"
"3042726","730965","305809","286374","642247","286500"
"3043156","589237","69042","563682","572208","744520"
"3061513","505012","255809","568446","683431","291752"
"3071046","705423","631543","742634","612698","171054"
"3080120","38266","284319","69042","237017","665134"
"3085202","221922","714520","91535","568446","705423"
"3093794","742160","564826","637742","809177","445345"
"3122261","284319","706170","255809","568446","555225"
"3133489","528227","171054","771343","570753","613088"
"3146037","724346","503629","237017","716107","690757"
"3146203","38266","69042","410998","489832","553514"
"3181427","706170","771758","589194","291752","182839"
"3192554","734886","568446","698672","807269","331946"
"3204169","175989","517092","361342","702894","311694"
"3217422","771217","700797","327285","311694","619662"
"3224082","564826","624485","683431","361342","700797"
"3241444","621108","237017","64736","507598","516482"
"3241922","528227","768737","38266","400325","460469"
"3260074","706170","410998","291752","613088","415619"
"3260805","690757","568446","637742","783348","193038"
"3278419","38266","305809","356424","770281","705423"
"3279032","724346","255809","742160","68873","277011"
"3281295","38266","350271","713715","286500","489832"
"3287406","68873","517092","652575","768274","619662"
"3308880","408794","637742","612698","297220","434097"
"3314075","771217","589237","284319","742634","621108"
"3315379","68873","772511","237017","286500","667333"
"3327797","706170","552145","705423","589194","68873"
"3341071","768737","193038","714520","445345","589237"
"3356377","221922","38266","589237","350271","683431"
"3375808","460469","410998","400325","665134","387644"
"3386366","193038","255809","619662","705423","608432"
"3399045","198307","489832","561022","543932","563682"
"3441513","528227","768737","68873","706170","515088"
"3466926","212050","310722","237017","253650","700797"
"3477524","570753","137026","327285","489832","357980"
"3478967","637742","706170","533623","212050","702894"
"3492012","705423","734886","286500","624485","327285"
"3505809","772511","771217","503629","552145","742160"
"3505991","724346","96048","410998","237017","69042"
"3544416","68873","237017","589194","460469","665134"
"3545120","284319","771217","533623","314235","568446"
"3556952","706170","612698","361342","342540","729395"
"3576778","286500","91535","400325","665134","601882"
"3590237","505012","485237","255809","713715","291752"
"3595270","706170","410998","445345","807269","699991"
"3597538","528227","408794","706170","589194","623734"
"3601645","408794","809177","276275","290701","624485"
"3608337","221922","460469","552145","561022","226121"
"3628337","485237","632434","80635","570753","571029"
"3631890","533623","658049","314235","601882","434097"
"3644216","705423","175989","700797","327285","237017"
"3644637","809177","706170","212050","568446","771343"
"3647272","286374","175989","255809","400325","683431"
"3651457","778820","255809","254104","168769","137026"
"3653201","222516","485237","771758","291752","553514"
"3663776","564826","705423","445345","807269","43980"
"3680046","690757","568446","624485","543932","768274"
"3718408","742160","284319","637742","771217","342540"
"3723952","489832","619662","595990","724346","729317"
"3724795","38266","809177","730965","589194","593101"
"3758910","96048","212050","198307","624485","68873"
"3765319","714520","716107","80635","623734","667333"
"3766012","637742","706170","632434","705423","314235"
"3788782","55621","255809","705423","314235","568446"
"3821129","212050","568446","683431","68873","310722"
"3825509","564826","485237","305809","171054","445345"
"3846003","247805","91535","221922","357980","236632"
"3855104","528227","768737","276275","564826","705423"
"3886540","38266","589194","460469","311694","43980"
"3886755","193038","667333","807269","683431","311694"
"3892074","221922","38266","485237","171054","683431"
"3892282","533623","619662","683431","387644","555225"
"3955041","286500","212050","247805","553514","631543"
"3960806","38266","564826","193038","568446","460469"
"3977053","276275","564826","713715","700797","807269"
"3984496","38266","735973","254104","314235","361342"
"4017740","724346","222516","590236","460469","286500"
"4046204","505012","552145","198307","665134","68873"
"4046972","724346","771217","742160","593101","713715"
"4056223","612698","236632","247805","568446","619662"
"4084012","609202","237017","568446","387644","311694"
"4097500","706170","254104","807269","553514","631543"
"4100482","505012","637742","713715","771343","237017"
"4100544","706170","533623","517092","705423","460469"
"4106698","55621","809177","212050","460469","489832"
"4108308","107195","667333","568446","311584","570753"
"4117053","713715","568446","255809","768737","667305"
"4155386","593101","713715","400325","553514","291752"
"4156667","771217","771758","778820","356424","361342"
"4165820","460469","619662","253650","754613","361342"
"4175055","460469","489832","561022","387644","555225"
"4179993","290701","445345","589237","690757","699991"
"4180511","533623","80635","198307","91535","700797"
"4187551","80635","198307","327285","543932","601882"
"4188252","564826","533623","735973","212050","734886"
"4189952","222516","69042","96048","193038","690757"
"4193761","637742","809177","706170","807269","702894"
"4198054","568446","698672","314235","570753","563682"
"4202425","168769","613088","38266","667305","794927"
"4252277","237017","716107","445345","729395","608432"
"4260264","706170","590236","754613","783348","182839"
"4272620","724346","656268","80635","713715","771217"
"4280207","255809","713715","568446","254104","460469"
"4281147","528227","705423","286500","698672","807269"
"4286813","589194","356424","690757","770281","361342"
"4309450","809177","589194","361342","460469","771343"
"4314129","564826","254104","683431","570753","214531"
"4330819","408794","706170","286500","331946","467103"
"4363352","38266","772511","69042","734886","735973"
"4364462","485237","533623","568446","702894","193038"
"4369217","768737","410998","623734","742634","606871"
"4380449","485237","705423","460469","255177","570753"
"4381542","735973","361342","314235","168769","387644"
"4387197","609202","91535","400325","543932","621108"
"4412129","700797","400325","137026","713715","291752"
"4415881","505012","713715","667305","612698","422044"
"4438302","171054","80635","621108","624485","619662"
"4443833","367107","276275","247805","772511","107195"
"4447646","637742","503629","533623","198307","690757"
"4456680","408794","533623","237017","716107","601882"
"4458062","528227","768737","716107","700797","237017"
"4459890","422044","431635","42970","770281","650245"
"4489932","564826","637742","706170","665134","237017"
"4502294","55621","533623","314235","253650","665134"
"4503528","742160","552145","445345","80635","198307"
"4505941","222516","460469","778820","193038","714520"
"4519705","38266","706170","735973","212050","667333"
"4521818","38266","590236","198307","568446","624485"
"4522084","460469","552145","568446","357980","366438"
"4532209","770281","568446","460469","222516","331946"
