"","user","item","rating","prediction","MAE"
"6","4380449","2818",2,"1.03839616364428",0.96160383635572
"8","913549","20168",2,"-0.111377317000089",2.11137731700009
"16","4489932","25428",3,"0.686165973101163",2.31383402689884
"23","1573009","27886",3,"2.70828463316113",0.29171536683887
"24","2667507","27886",2,"0.584123981844604",1.4158760181554
"28","2807294","27886",2,"0.515211685354921",1.48478831464508
"29","934348","27886",5,"0.789582641706839",4.21041735829316
"38","1642815","28871",3,"0.164756359784525",2.83524364021548
"47","3279032","29051",3,"-0.423676122606987",3.42367612260699
"50","3260074","29051",3,"-1.62334946064317",4.62334946064317
"53","4616538","29051",2,"-0.990347051602129",2.99034705160213
"62","3680046","38266",5,"0.788884599506072",4.21111540049393
"64","195859","38266",4,"0.374626069411804",3.6253739305882
"73","505271","43109",3,"0.746887708124839",2.25311229187516
"84","4691280","43980",3,"0.0216985892035291",2.97830141079647
"85","2807294","43980",5,"1.14557861447868",3.85442138552132
"86","4579320","43980",3,"-0.689314411308849",3.68931441130885
"88","3314075","43980",2,"0.483103285757645",1.51689671424236
"91","187580","44129",1,"-0.58120577822382",1.58120577822382
"93","3758910","44129",3,"1.71650662103398",1.28349337896602
"101","216385","44391",3,"1.07813819789525",1.92186180210475
"105","4505941","46386",2,"1.31713786402753",0.68286213597247
"106","5694124","46386",3,"-0.333226224761565",3.33322622476157
"110","4046972","46386",3,"0.624934470801528",2.37506552919847
"111","3192554","46386",4,"-0.0180331092226955",4.0180331092227
"115","1319480","47061",2,"1.82640530869984",0.17359469130016
"126","1337537","48076",4,"-0.806587716925724",4.80658771692572
"128","1552059","48076",3,"-1.74794893175437",4.74794893175437
"135","142145","49552",4,"-0.527487977532701",4.5274879775327
"146","5299179","50515",3,"-0.583248772525029",3.58324877252503
"149","3855104","50515",3,"-0.923127060275698",3.9231270602757
"156","4155386","50518",2,"-0.202874375602487",2.20287437560249
"157","3595270","50518",3,"-0.403589975652953",3.40358997565295
"168","1488099","50523",2,"1.3245943952637",0.6754056047363
"170","2354909","50570",5,"1.24018854821394",3.75981145178606
"174","1468271","50570",3,"2.39521110973194",0.60478889026806
"176","2923773","50570",1,"1.56253430722111",0.56253430722111
"177","4260264","50570",3,"-0.440295883541252",3.44029588354125
"188","3000454","52490",3,"1.27774431593756",1.72225568406244
"189","2965087","52490",1,"0.22223505889227",0.77776494110773
"190","4117053","52490",4,"-0.281009454705249",4.28100945470525
"196","1308801","53067",2,"0.37119765748961",1.62880234251039
"205","5647495","53671",3,"-1.8285700002885",4.8285700002885
"208","1141485","53692",1,"-0.595283587477241",1.59528358747724
"219","3651457","55256",1,"-0.00390682147474351",1.00390682147474
"225","3042726","55621",1,"0.635972335627368",0.364027664372632
"226","4901980","55621",1,"0.00181815613140154",0.998181843868598
"227","2724950","55621",2,"-0.109072228510805",2.10907222851081
"228","4363352","55621",5,"-0.379893115069913",5.37989311506991
"233","3597538","55621",1,"-0.990502040688792",1.99050204068879
"235","3628337","55621",3,"0.51348031349447",2.48651968650553
"236","2976221","55703",3,"0.307638058766251",2.69236194123375
"248","3718408","55709",3,"0.047174646793092",2.95282535320691
"254","2296088","55709",1,"0.707819596247495",0.292180403752505
"257","2105984","55807",3,"0.591551847305004",2.408448152695
"261","2296088","55807",4,"0.778144931941578",3.22185506805842
"273","3241444","56879",3,"-0.255557979318861",3.25555797931886
"285","3892074","58211",2,"-0.232122735479347",2.23212273547935
"288","3855104","58211",2,"0.0880429981290589",1.91195700187094
"298","2369370","62015",1,"-1.0050309101496",2.0050309101496
"300","4901980","62015",2,"0.223066116359627",1.77693388364037
"305","2737248","62801",3,"0.399031418015481",2.60096858198452
"312","5604808","62801",1,"0.0970682255972434",0.902931774402757
"321","3886755","63872",2,"-0.0508498050802726",2.05084980508027
"324","571678","63872",3,"-2.08818823135092",5.08818823135092
"330","1337537","64736",1,"1.02209346499968",0.02209346499968
"332","195580","64736",4,"0.474390280926841",3.52560971907316
"334","1468271","64736",3,"0.75153782407342",2.24846217592658
"339","4260264","64769",2,"0.405933262750268",1.59406673724973
"342","922621","64769",4,"0.759030958806052",3.24096904119395
"345","5681109","64769",3,"-0.35133062239919",3.35133062239919
"349","3955041","64769",2,"0.327142252833182",1.67285774716682
"356","1271678","67841",3,"2.02997389248337",0.97002610751663
"360","5720466","67841",3,"-0.604728374710073",3.60472837471007
"367","2826744","68873",4,"-1.12270692851064",5.12270692851064
"381","2865695","73208",2,"0.53252046000212",1.46747953999788
"389","468497","73208",2,"1.30325524259663",0.69674475740337
"391","5062046","73917",1,"0.533329727704463",0.466670272295537
"393","1898757","73917",4,"-0.43882707307071",4.43882707307071
"397","4380449","75382",3,"0.933026295049445",2.06697370495055
"403","2856748","75382",2,"0.532003943045188",1.46799605695481
"404","4117053","75382",2,"0.634507794175397",1.3654922058246
"405","1642815","75382",1,"-1.07588546433578",2.07588546433578
"410","4616538","75444",1,"-0.0200150704762283",1.02001507047623
"411","3287406","75444",3,"0.404642848164925",2.59535715183508
"412","4735650","75444",3,"0.5585152059854",2.4414847940146
"417","3080120","75444",4,"-2.73123728282473",6.73123728282473
"424","2698418","76668",3,"-0.147741465561674",3.14774146556167
"425","3278419","76668",3,"-0.020581458363349",3.02058145836335
"426","4901980","76668",3,"0.179619687257177",2.82038031274282
"437","4447646","80635",5,"0.180788634840773",4.81921136515923
"440","4438302","82482",1,"1.36119277191091",0.36119277191091
"446","2411384","82482",3,"-0.64818287154746",3.64818287154746
"450","3977053","82748",3,"0.523953174826716",2.47604682517328
"452","4456680","83498",3,"-0.184702344314179",3.18470234431418
"454","2694521","83498",3,"2.455442010291",0.544557989709
"463","3955041","83498",4,"0.207318519878945",3.79268148012105
"465","2342196","83498",4,"2.20711501577369",1.79288498422631
"468","195580","83814",3,"0.404976369901626",2.59502363009837
"475","3085202","83814",3,"-1.88693944439523",4.88693944439523
"476","627962","84057",3,"1.52573944961744",1.47426055038256
